Category,2014_1_No,2014_1_Yes,2014_2_No,2014_2_Yes,2014_45_No,2014_45_Yes,2014_46_No,2014_46_Yes,2014_47_No,2014_47_Yes,2014_48_No,2014_48_Yes
Santa Clara_Total,"93,237","276,827","87,018","277,757","189,176","182,138","248,848","125,900","119,701","241,260","217,071","133,357"
Santa Clara_Percent,25.2%,74.8%,23.9%,76.1%,50.9%,49.1%,66.4%,33.6%,33.2%,66.8%,61.9%,38.1%
Santa Cruz_Total,"13,062","33,983","12,887","32,631","22,866","24,012","32,735","14,439","10,902","36,524","20,719","24,193"
Santa Cruz_Percent,27.8%,72.2%,28.3%,71.7%,48.8%,51.2%,69.4%,30.6%,23.0%,77.0%,46.1%,53.9%
Shasta_Total,"26,264","25,411","20,261","30,614","35,245","16,546","39,171","13,339","30,182","21,826","35,737","15,400"
Shasta_Percent,50.8%,49.2%,39.8%,60.2%,68.1%,31.9%,74.6%,25.4%,58.0%,42.0%,69.9%,30.1%
Solano_Total,"29,559","54,103","26,876","55,613","51,139","32,740","53,461","31,070","34,064","49,956","49,976","32,611"
Solano_Percent,35.3%,64.7%,32.6%,67.4%,61.0%,39.0%,63.2%,36.8%,40.5%,59.5%,60.5%,39.5%
Sonoma_Total,"37,703","68,676","31,279","73,396","62,085","42,324","74,730","30,972","32,814","72,135","67,947","33,828"
Sonoma_Percent,35.4%,64.6%,29.9%,70.1%,59.5%,40.5%,70.7%,29.3%,31.3%,68.7%,66.8%,33.2%
Stanislaus_Total,"30,361","55,241","28,235","56,492","58,577","27,112","58,145","28,427","45,252","40,458","55,355","29,622"
Stanislaus_Percent,35.5%,64.5%,33.3%,66.7%,68.4%,31.6%,67.2%,32.8%,52.8%,47.2%,65.1%,34.9%
Sutter_Total,"5,516","9,722","5,209","9,806","10,584","4,671","10,687","4,702","8,672","6,533","9,379","5,742"
Sutter_Percent,36.2%,63.8%,34.7%,65.3%,69.4%,30.6%,69.4%,30.6%,57.0%,43.0%,62.0%,38.0%
Tulare_Total,"12,386","30,101","15,231","26,714","30,484","12,106","30,567","12,302","24,007","18,420","28,164","13,845"
Tulare_Percent,29.2%,70.8%,36.3%,63.7%,71.6%,28.4%,71.3%,28.7%,56.6%,43.4%,67.0%,33.0%
Ventura_Total,"55,055","108,373","51,793","109,767","96,935","66,390","109,337","54,554","71,083","91,889","95,437","64,119"
Ventura_Percent,33.7%,66.3%,32.1%,67.9%,59.4%,40.6%,66.7%,33.3%,43.6%,56.4%,59.8%,40.2%
Yolo_Total,"11,574","23,227","9,931","24,104","20,217","14,290","24,856","9,893","13,586","20,996","20,921","12,807"
Yolo_Percent,33.3%,66.7%,29.2%,70.8%,58.6%,41.4%,71.5%,28.5%,39.3%,60.7%,62.0%,38.0%
Yuba_Total,"4,852","6,385","4,331","6,768","7,737","3,541","7,665","3,676","5,834","5,457","6,676","4,460"
Yuba_Percent,43.2%,56.8%,39.0%,61.0%,68.6%,31.4%,67.6%,32.4%,51.7%,48.3%,59.9%,40.1%
