Category,2008_1A_Yes,2008_1A_No,2008_2_Yes,2008_2_No,2008_3_Yes,2008_3_No,2008_4_Yes,2008_4_No,2008_5_Yes,2008_5_No,2008_6_Yes,2008_6_No,2008_7_Yes,2008_7_No,2008_8_Yes,2008_8_No,2008_9_Yes,2008_9_No,2008_10_Yes,2008_10_No,2008_11_Yes,2008_11_No,2008_12_Yes,2008_12_No
Fresno_Percent,55.500%,44.500%,49.500%,50.500%,54.600%,45.400%,60.0%,40.0%,32.800%,67.200%,33.300%,66.700%,32.900%,67.100%,68.700%,31.300%,58.300%,41.700%,39.600%,60.400%,52.400%,47.600%,64.700%,35.300%
Glenn_Total,"2,460","7,088","3,636","6,002","3,425","6,094","5,470","4,164","2,767","6,763","2,634","6,759","2,364","7,126","7,235","2,644","5,016","4,383","2,267","7,216","4,751","4,435","5,620","3,828"
Glenn_Percent,25.700%,74.300%,37.700%,62.300%,35.900%,64.100%,56.800%,43.200%,29.00%,71.00%,28.00%,72.00%,24.900%,75.100%,73.300%,26.700%,53.400%,46.600%,23.900%,76.100%,51.800%,48.200%,59.500%,40.500%
Humboldt_Total,"25,839","34,845","40,701","21,230","28,636","31,601","22,274","39,555","31,145","29,887","13,890","45,683","20,819","39,715","25,296","37,963","28,565","30,294","19,631","40,353","24,469","32,602","36,335","22,452"
Humboldt_Percent,42.500%,57.500%,65.800%,34.200%,47.500%,52.500%,36.00%,64.00%,51.100%,48.900%,23.300%,76.700%,34.300%,65.700%,39.900%,60.100%,48.500%,51.500%,32.700%,67.300%,42.800%,57.200%,61.900%,38.100%
Imperial_Total,"20,688","16,840","21,016","16,313","26,064","11,335","28,195","10,103","14,645","22,664","17,428","19,490","19,430","17,489","27,048","11,783","25,055","12,121","16,351","17,104","14,654","17,802","22,972","10,099"
Imperial_Percent,55.200%,44.800%,56.300%,43.700%,69.700%,30.300%,73.700%,26.300%,39.200%,60.800%,47.200%,52.800%,52.700%,47.300%,69.700%,30.300%,67.400%,32.600%,48.800%,51.200%,45.100%,54.900%,69.500%,30.500%
Inyo_Total,"2,855","5,294","4,689","3,637","3,646","4,469","3,927","4,274","3,123","5,054","2,601","5,394","2,674","5,442","5,116","3,334","4,351","3,607","2,499","5,572","3,520","4,183","5,131","2,929"
Inyo_Percent,35.00%,65.00%,56.400%,43.600%,44.900%,55.100%,47.800%,52.200%,38.100%,61.900%,32.500%,67.500%,32.900%,67.100%,60.600%,39.400%,54.700%,45.300%,30.900%,69.100%,45.600%,54.400%,63.700%,36.300%
Kern_Total,"114,768","111,478","120,655","106,283","120,006","104,777","148,170","78,303","66,835","158,673","78,536","142,591","90,269","132,436","175,167","57,496","138,578","83,524","91,783","131,667","103,123","113,355","140,377","81,616"
Kern_Percent,50.800%,49.200%,53.200%,46.800%,53.400%,46.600%,65.500%,34.500%,29.600%,70.400%,35.500%,64.500%,40.500%,59.500%,75.300%,24.700%,62.400%,37.600%,41.00%,59.00%,47.600%,52.400%,63.300%,36.700%
Kings_Total,"16,182","17,906","15,862","18,332","20,286","14,093","23,025","11,425","10,492","23,607","13,002","20,771","11,448","22,411","25,821","9,244","20,645","13,229","13,606","20,411","16,025","17,034","22,843","11,184"
Kings_Percent,47.400%,52.600%,46.300%,53.700%,59.100%,40.900%,66.900%,33.100%,30.700%,69.300%,38.400%,61.600%,33.800%,66.200%,73.700%,26.300%,61.00%,39.00%,39.900%,60.100%,48.400%,51.600%,67.200%,32.800%
Lake_Total,"11,369","13,225","15,801","9,211","12,390","12,228","11,338","13,628","10,295","14,477","7,120","17,222","8,747","16,002","13,036","12,080","13,226","10,871","9,185","15,170","11,395","12,265","16,356","8,140"
Lake_Percent,46.200%,53.800%,63.200%,36.800%,50.400%,49.600%,45.400%,54.600%,41.500%,58.500%,29.200%,70.800%,35.300%,64.700%,52.00%,48.00%,54.900%,45.100%,37.700%,62.300%,48.100%,51.900%,66.800%,33.200%
Lassen_Total,"3,003","7,934","4,809","6,161","4,475","6,379","6,454","4,558","3,542","7,442","3,529","7,291","4,380","6,416","8,021","3,241","6,789","4,063","3,251","7,633","4,304","6,218","6,889","4,014"
Lassen_Percent,27.400%,72.600%,43.800%,56.200%,41.200%,58.800%,58.700%,41.300%,32.200%,67.800%,32.600%,67.400%,40.500%,59.500%,71.300%,28.700%,62.600%,37.400%,29.800%,70.200%,40.900%,59.100%,63.200%,36.800%
Los Angeles_Total,"1,694,649","1,354,093","2,090,665","1,026,497","1,882,951","1,160,833","1,437,830","1,673,251","1,312,378","1,751,858","907,732","2,052,672","1,127,468","1,893,487","1,624,672","1,622,287","1,537,289","1,428,673","1,368,119","1,657,227","1,378,561","1,513,159","1,955,109","990,171"
Los Angeles_Percent,55.600%,44.400%,67.100%,32.900%,61.900%,38.100%,46.200%,53.800%,42.800%,57.200%,30.600%,69.400%,37.300%,62.700%,50.100%,49.900%,51.900%,48.100%,45.200%,54.800%,47.600%,52.400%,66.400%,33.600%
Madera_Total,"18,961","21,984","18,901","22,249","20,873","20,268","26,343","14,732","12,716","27,898","13,237","26,764","12,918","27,574","30,906","11,193","22,575","17,600","13,742","26,887","20,173","19,023","26,656","13,590"
Madera_Percent,46.300%,53.700%,45.900%,54.100%,50.800%,49.200%,64.200%,35.800%,31.300%,68.700%,33.00%,67.00%,31.900%,68.100%,73.500%,26.500%,56.200%,43.800%,33.800%,66.200%,51.500%,48.500%,66.300%,33.700%
Marin_Total,"87,159","46,540","97,368","37,940","67,095","62,623","34,554","100,289","67,327","63,769","26,934","99,883","41,944","89,628","34,324","103,341","56,283","71,827","41,199","89,161","70,950","52,494","84,531","42,874"
Marin_Percent,65.200%,34.800%,72.00%,28.00%,51.800%,48.200%,25.600%,74.400%,51.400%,48.600%,21.200%,78.800%,31.800%,68.200%,24.900%,75.100%,43.900%,56.100%,31.600%,68.400%,57.500%,42.500%,66.400%,33.600%
Mariposa_Total,"4,022","5,342","4,816","4,623","4,193","5,104","4,753","4,648","3,411","5,927","2,376","6,807","2,630","6,672","5,961","3,640","4,479","4,693","2,808","6,454","4,208","4,733","5,984","3,272"
Mariposa_Percent,42.900%,57.100%,51.100%,48.900%,45.100%,54.900%,50.600%,49.400%,36.500%,63.500%,25.800%,74.200%,28.200%,71.800%,62.100%,37.900%,48.800%,51.200%,30.300%,69.700%,47.00%,53.00%,64.700%,35.300%
Mendocino_Total,"21,199","17,412","27,698","11,678","19,794","18,423","12,680","26,304","20,023","18,469","7,518","30,210","12,923","25,471","14,649","25,072","17,109","20,522","13,193","24,775","15,142","21,613","25,304","12,700"
Mendocino_Percent,55.00%,45.00%,70.400%,29.600%,51.800%,48.200%,32.500%,67.500%,52.100%,47.900%,19.900%,80.100%,33.600%,66.400%,36.800%,63.200%,45.400%,54.600%,34.700%,65.300%,41.100%,58.900%,66.600%,33.400%
Merced_Total,"32,609","28,669","26,161","35,881","34,375","27,168","38,800","23,129","19,489","41,932","23,135","37,003","21,310","39,504","44,800","18,520","35,154","25,036","23,419","37,253","28,832","29,741","39,739","20,657"
Merced_Percent,53.300%,46.700%,42.100%,57.900%,55.900%,44.100%,62.700%,37.300%,31.700%,68.300%,38.400%,61.600%,35.00%,65.00%,70.800%,29.200%,58.500%,41.500%,38.500%,61.500%,49.200%,50.800%,65.800%,34.200%
Modoc_Total,977,"3,368","1,748","2,608","1,485","2,858","2,372","1,969","1,217","3,154","1,035","3,263","1,246","3,045","3,279","1,142","2,554","1,727",959,"3,365","1,873","2,314","2,769","1,564"
Modoc_Percent,22.400%,77.600%,40.100%,59.900%,34.100%,65.900%,54.700%,45.300%,27.800%,72.200%,24.00%,76.00%,29.00%,71.00%,74.200%,25.800%,59.700%,40.300%,22.100%,77.900%,44.700%,55.300%,64.00%,36.00%
Mono_Total,"2,183","3,116","3,100","2,242","2,271","2,969","2,125","3,218","2,303","2,988","1,341","3,842","2,474","2,828","2,425","3,050","2,787","2,338","2,022","3,232","2,386","2,526","3,115","2,092"
Mono_Percent,41.100%,58.900%,58.100%,41.900%,43.300%,56.700%,39.700%,60.300%,43.500%,56.500%,25.800%,74.200%,46.600%,53.400%,44.200%,55.800%,54.400%,45.600%,38.400%,61.600%,48.500%,51.500%,59.900%,40.100%
Monterey_Total,"71,119","49,305","82,163","40,844","66,687","54,368","53,977","69,078","55,615","66,353","38,803","83,598","43,290","80,924","62,251","66,191","63,684","58,553","52,790","70,061","55,771","63,253","79,495","42,087"
Monterey_Percent,59.100%,40.900%,66.800%,33.200%,55.100%,44.900%,43.800%,56.200%,45.500%,54.500%,31.700%,68.300%,34.800%,65.200%,48.400%,51.600%,52.100%,47.900%,42.900%,57.100%,46.800%,53.200%,65.400%,34.600%
Napa_Total,"29,138","27,535","37,603","20,112","28,388","27,492","24,058","33,419","23,440","32,839","15,397","39,262","19,112","36,996","26,227","32,742","28,097","26,611","19,338","36,494","28,249","25,101","35,680","19,266"
Napa_Percent,51.500%,48.500%,65.200%,34.800%,50.900%,49.100%,41.800%,58.200%,41.600%,58.400%,28.200%,71.800%,34.00%,66.00%,44.400%,55.600%,51.400%,48.600%,34.600%,65.400%,53.00%,47.00%,65.00%,35.00%
Nevada_Total,"23,101","29,974","32,949","21,104","19,277","33,493","23,417","30,512","19,975","33,378","12,006","39,801","15,891","37,088","27,617","27,614","26,897","25,043","15,884","36,985","28,925","21,406","28,495","23,558"
Nevada_Percent,43.500%,56.500%,61.00%,39.00%,36.500%,63.500%,43.400%,56.600%,37.400%,62.600%,23.100%,76.900%,29.900%,70.100%,50.100%,49.900%,51.800%,48.200%,30.0%,70.0%,57.500%,42.500%,54.800%,45.200%
Orange_Total,"470,846","608,271","660,741","441,070","528,320","547,061","600,830","504,707","380,102","701,377","321,170","732,879","373,504","705,463","659,037","484,015","612,578","446,576","418,350","657,191","559,971","458,329","603,006","445,357"
Orange_Percent,43.600%,56.400%,60.0%,40.0%,49.100%,50.900%,54.400%,45.600%,35.100%,64.900%,30.400%,69.600%,34.600%,65.400%,57.700%,42.300%,57.900%,42.100%,38.800%,61.200%,55.00%,45.00%,57.600%,42.400%
Placer_Total,"65,790","99,957","91,847","75,949","62,945","100,614","84,165","83,483","47,776","117,371","43,594","117,289","48,441","115,480","102,977","69,444","87,692","73,467","49,625","114,279","91,962","63,849","87,009","72,690"
Placer_Percent,39.600%,60.400%,54.800%,45.200%,38.400%,61.600%,50.300%,49.700%,28.900%,71.100%,27.00%,73.00%,29.500%,70.500%,59.800%,40.200%,54.500%,45.500%,30.200%,69.800%,59.100%,40.900%,54.500%,45.500%
Plumas_Total,"3,338","7,370","5,791","5,092","4,022","6,691","5,027","5,762","3,517","7,231","2,489","8,089","3,248","7,415","6,576","4,401","5,637","4,944","2,867","7,822","5,327","4,990","6,416","4,242"
Plumas_Percent,31.100%,68.900%,53.300%,46.700%,37.500%,62.500%,46.500%,53.500%,32.700%,67.300%,23.500%,76.500%,30.400%,69.600%,60.0%,40.0%,53.300%,46.700%,26.800%,73.200%,51.700%,48.300%,60.200%,39.800%
Riverside_Total,"293,145","304,909","385,064","234,527","347,838","264,945","378,731","252,389","227,632","395,445","238,778","370,001","238,816","377,353","417,133","228,449","385,826","225,510","283,962","333,854","317,654","278,716","403,243","197,863"
Riverside_Percent,49.00%,51.00%,62.200%,37.800%,56.800%,43.200%,60.100%,39.900%,36.500%,63.500%,39.200%,60.800%,38.700%,61.300%,64.700%,35.300%,63.200%,36.800%,45.900%,54.100%,53.300%,46.700%,67.100%,32.900%
Sacramento_Total,"246,221","269,646","309,808","212,795","237,948","271,508","240,508","279,444","183,291","330,247","151,892","350,584","172,707","338,387","289,378","248,444","255,179","239,041","179,331","318,992","266,967","211,570","277,515","212,145"
Sacramento_Percent,47.700%,52.300%,59.300%,40.700%,46.700%,53.300%,46.200%,53.800%,35.600%,64.400%,30.200%,69.800%,33.700%,66.300%,53.900%,46.100%,51.700%,48.300%,35.900%,64.100%,55.800%,44.200%,56.700%,43.300%
San Benito_Total,"9,671","9,062","10,911","8,043","10,172","8,512","9,045","9,906","7,757","10,987","6,147","12,253","7,064","11,548","10,657","8,794","10,815","7,846","6,902","11,868","8,782","9,213","11,980","6,683"
San Benito_Percent,51.700%,48.300%,57.600%,42.400%,54.500%,45.500%,47.700%,52.300%,41.300%,58.700%,33.400%,66.600%,37.900%,62.100%,54.800%,45.200%,58.00%,42.00%,36.700%,63.300%,48.800%,51.200%,64.200%,35.800%
San Bernardino_Total,"260,348","302,748","352,639","219,903","314,785","249,463","338,913","234,018","197,931","367,609","208,256","348,089","206,013","373,201","404,762","201,227","354,875","218,413","249,993","326,901","285,888","267,308","364,126","201,191"
San Bernardino_Percent,46.200%,53.800%,61.600%,38.400%,55.800%,44.200%,59.200%,40.800%,34.900%,65.100%,37.400%,62.600%,35.500%,64.500%,66.800%,33.200%,62.00%,38.00%,43.300%,56.700%,51.700%,48.300%,64.500%,35.500%
San Diego_Total,"560,342","592,692","776,879","409,660","597,502","544,959","623,098","558,159","462,758","690,669","369,801","746,638","423,335","724,595","655,625","565,054","616,204","499,202","487,114","648,327","582,690","488,822","666,846","442,435"
San Diego_Percent,48.500%,51.500%,65.500%,34.500%,52.300%,47.700%,52.800%,47.200%,40.100%,59.900%,33.100%,66.900%,36.800%,63.200%,53.800%,46.200%,55.300%,44.700%,42.900%,57.100%,54.400%,45.600%,60.200%,39.800%
San Francisco_Total,"282,091","78,024","259,828","99,110","206,825","140,590","89,333","272,717","212,229","139,148","69,527","266,972","108,433","239,068","92,536","280,491","123,376","211,062","122,588","219,986","119,902","204,690","229,090","107,446"
San Francisco_Percent,78.400%,21.600%,72.400%,27.600%,59.600%,40.400%,24.600%,75.400%,60.400%,39.600%,20.600%,79.400%,31.200%,68.800%,24.800%,75.200%,36.800%,63.200%,35.700%,64.300%,36.900%,63.100%,68.100%,31.900%
San Joaquin_Total,"105,914","92,910","112,591","88,526","106,489","90,479","111,550","89,104","67,683","130,204","70,912","122,024","74,334","122,027","135,728","71,747","118,086","77,397","82,975","113,296","94,967","93,851","128,385","66,703"
San Joaquin_Percent,53.300%,46.700%,56.00%,44.00%,54.100%,45.900%,55.600%,44.400%,34.200%,65.800%,36.700%,63.300%,37.800%,62.200%,65.500%,34.500%,60.500%,39.500%,42.200%,57.800%,50.300%,49.700%,65.900%,34.100%
San Luis Obispo_Total,"58,093","67,252","73,020","55,002","57,812","66,191","57,144","70,817","53,415","71,615","29,466","92,089","43,063","81,679","67,304","64,555","64,814","57,001","43,524","80,438","59,713","58,339","75,619","46,888"
San Luis Obispo_Percent,46.300%,53.700%,57.100%,42.900%,46.600%,53.400%,44.600%,55.400%,42.700%,57.300%,24.200%,75.800%,34.500%,65.500%,51.100%,48.900%,53.300%,46.700%,35.100%,64.900%,50.600%,49.400%,61.800%,38.200%
San Mateo_Total,"174,919","111,669","197,245","92,595","161,865","117,620","108,415","181,282","128,596","152,974","74,760","199,150","95,648","185,805","114,695","185,127","133,412","138,793","98,800","177,564","133,035","127,856","175,250","96,122"
San Mateo_Percent,61.100%,38.900%,68.100%,31.900%,58.00%,42.00%,37.400%,62.600%,45.600%,54.400%,27.200%,72.800%,33.900%,66.100%,38.200%,61.800%,49.00%,51.00%,35.700%,64.300%,51.00%,49.00%,64.600%,35.400%
Santa Barbara_Total,"89,533","75,916","114,110","54,017","88,609","74,883","71,537","96,406","82,255","82,039","44,884","114,522","71,526","92,350","80,117","92,305","82,467","76,557","61,068","99,827","81,670","72,269","100,870","58,530"
Santa Barbara_Percent,54.200%,45.800%,67.900%,32.100%,54.200%,45.800%,42.500%,57.500%,50.100%,49.900%,28.100%,71.900%,43.600%,56.400%,46.400%,53.600%,51.900%,48.100%,37.900%,62.100%,53.100%,46.900%,63.300%,36.700%
Santa Clara_Total,"364,056","239,071","416,785","211,658","370,502","244,132","272,479","358,263","265,933","352,011","181,146","428,091","224,893","399,452","291,347","367,053","318,186","290,104","260,017","358,944","312,354","275,271","368,378","226,017"
Santa Clara_Percent,60.400%,39.600%,66.400%,33.600%,60.300%,39.700%,43.100%,56.900%,43.00%,57.00%,29.700%,70.300%,36.00%,64.00%,44.200%,55.800%,52.400%,47.600%,42.00%,58.00%,53.200%,46.800%,62.00%,38.00%
Santa Cruz_Total,"72,480","47,962","90,225","32,239","64,974","53,257","34,170","88,628","66,911","53,178","23,792","92,597","40,739","79,025","36,163","89,793","48,980","67,212","44,702","73,636","55,825","55,337","73,595","41,653"
Santa Cruz_Percent,60.200%,39.800%,73.700%,26.300%,55.00%,45.00%,27.800%,72.200%,55.800%,44.200%,20.400%,79.600%,34.00%,66.00%,28.700%,71.300%,42.100%,57.900%,37.700%,62.300%,50.300%,49.700%,63.900%,36.100%
Shasta_Total,"23,829","52,658","41,178","36,692","30,771","45,857","44,202","33,755","24,967","52,207","21,045","54,441","23,380","53,080","55,698","24,224","42,890","33,140","23,631","52,967","37,635","35,265","48,546","26,956"
Shasta_Percent,31.100%,68.900%,52.900%,47.100%,40.100%,59.900%,56.800%,43.200%,32.300%,67.700%,27.800%,72.200%,30.500%,69.500%,69.700%,30.300%,56.500%,43.500%,30.800%,69.200%,51.700%,48.300%,64.300%,35.700%
Sierra_Total,625,"1,301",993,956,693,"1,236",976,959,622,"1,294",452,"1,441",581,"1,345","1,273",711,"1,040",867,517,"1,402",849,994,"1,157",768
Sierra_Percent,32.400%,67.600%,51.00%,49.00%,35.900%,64.100%,50.500%,49.500%,32.400%,67.600%,23.800%,76.200%,30.100%,69.900%,64.200%,35.800%,54.600%,45.400%,26.900%,73.100%,46.00%,54.00%,60.200%,39.800%
Siskiyou_Total,"6,909","13,618","10,798","9,741","8,108","12,174","10,369","10,250","7,492","12,967","4,731","15,398","7,756","12,468","12,668","8,475","11,462","8,727","6,045","14,329","9,231","10,289","13,250","7,135"
Siskiyou_Percent,33.600%,66.400%,52.600%,47.400%,39.900%,60.100%,50.300%,49.700%,36.600%,63.400%,23.500%,76.500%,38.300%,61.700%,60.0%,40.0%,56.800%,43.200%,29.600%,70.400%,47.200%,52.800%,65.00%,35.00%
Solano_Total,"83,077","71,077","101,154","54,167","89,779","63,583","78,279","77,768","62,217","90,825","49,565","101,219","55,895","96,989","89,292","70,680","90,470","61,582","59,627","84,247","72,551","66,395","96,023","46,673"
Solano_Percent,53.900%,46.100%,65.200%,34.800%,58.600%,41.400%,50.200%,49.800%,40.600%,59.400%,32.800%,67.200%,36.500%,63.500%,55.900%,44.100%,59.500%,40.500%,41.400%,58.600%,52.300%,47.700%,67.300%,32.700%
Sonoma_Total,"140,754","79,647","140,586","81,725","104,152","111,024","73,543","147,556","96,279","121,544","48,074","164,420","71,052","146,786","76,143","150,763","96,776","112,773","73,538","139,356","107,548","95,392","138,211","71,605"
Sonoma_Percent,63.900%,36.100%,63.300%,36.700%,48.400%,51.600%,33.200%,66.800%,44.200%,55.800%,22.600%,77.400%,32.600%,67.400%,33.500%,66.500%,46.100%,53.900%,34.500%,65.500%,53.00%,47.00%,65.900%,34.100%
Stanislaus_Total,"75,469","78,527","69,651","86,403","76,269","77,570","93,406","63,015","47,805","106,309","58,678","92,163","57,922","95,109","108,988","51,598","92,208","59,304","58,882","93,298","76,365","70,534","98,485","52,605"
Stanislaus_Percent,49.00%,51.00%,44.600%,55.400%,49.500%,50.500%,59.800%,40.200%,31.00%,69.00%,38.900%,61.100%,37.800%,62.200%,67.900%,32.100%,60.900%,39.100%,38.600%,61.400%,52.00%,48.00%,65.200%,34.800%
Sutter_Total,"11,538","19,463","15,843","15,769","13,859","17,319","18,744","12,907","9,861","21,414","10,588","20,119","9,679","21,346","23,032","9,707","17,150","13,661","9,855","20,972","16,062","13,797","18,030","12,304"
Sutter_Percent,37.200%,62.800%,50.200%,49.800%,44.400%,55.600%,59.300%,40.700%,31.500%,68.500%,34.400%,65.600%,31.100%,68.900%,70.400%,29.600%,55.700%,44.300%,31.900%,68.100%,53.800%,46.200%,59.500%,40.500%
Tehama_Total,"6,756","16,744","11,630","12,267","9,353","14,220","13,673","10,153","7,778","15,933","6,652","16,638","7,022","16,492","17,777","6,675","13,260","10,131","6,597","16,822","10,934","11,556","14,464","8,756"
Tehama_Percent,28.700%,71.300%,48.600%,51.400%,39.600%,60.400%,57.400%,42.600%,32.800%,67.200%,28.500%,71.500%,29.800%,70.200%,72.800%,27.200%,56.700%,43.300%,28.100%,71.900%,48.600%,51.400%,62.300%,37.700%
Trinity_Total,"1,976","4,247","3,525","2,748","2,544","3,664","2,832","3,441","2,585","3,663","1,621","4,516","1,749","4,447","3,563","2,785","3,216","2,886","1,751","4,389","2,676","3,258","3,928","2,237"
Trinity_Percent,31.700%,68.300%,56.200%,43.800%,40.900%,59.100%,45.100%,54.900%,41.300%,58.700%,26.400%,73.600%,28.200%,71.800%,56.200%,43.800%,52.800%,47.200%,28.500%,71.500%,45.00%,55.00%,63.800%,36.200%
Tulare_Total,"45,494","55,622","44,607","56,749","54,319","46,691","67,194","35,021","29,988","70,894","34,268","64,672","32,546","67,250","78,578","26,113","56,571","42,834","35,465","64,716","48,234","48,491","62,446","37,104"
Tulare_Percent,44.900%,55.100%,44.00%,56.00%,53.800%,46.200%,65.800%,34.200%,29.700%,70.300%,34.600%,65.400%,32.600%,67.400%,75.100%,24.900%,57.00%,43.00%,35.400%,64.600%,49.800%,50.200%,62.800%,37.200%
Tuolumne_Total,"9,575","16,602","14,468","12,270","10,455","15,631","12,959","13,347","8,857","17,443","7,296","18,467","8,605","17,476","16,964","10,163","13,230","11,910","7,641","17,680","13,209","11,314","16,014","8,993"
Tuolumne_Percent,36.500%,63.500%,54.200%,45.800%,40.0%,60.0%,49.200%,50.800%,33.600%,66.400%,28.300%,71.700%,32.900%,67.100%,62.600%,37.400%,52.700%,47.300%,30.100%,69.900%,53.900%,46.100%,64.100%,35.900%
Ventura_Total,"157,714","166,885","216,185","114,135","167,908","153,687","163,189","166,008","120,807","202,751","104,853","211,796","112,304","209,724","178,719","159,284","186,164","133,020","118,886","186,514","151,194","141,258","190,603","106,022"
Ventura_Percent,48.500%,51.500%,65.500%,34.500%,52.300%,47.700%,49.500%,50.500%,37.300%,62.700%,33.100%,66.900%,34.800%,65.200%,52.900%,47.100%,58.400%,41.600%,38.900%,61.100%,51.700%,48.300%,64.300%,35.700%
Yolo_Total,"39,441","37,155","45,017","32,264","36,804","38,627","27,948","49,791","31,156","44,529","17,979","56,392","25,318","50,567","32,816","46,537","32,977","41,002","25,638","49,500","36,739","35,250","41,039","32,915"
Yolo_Percent,51.500%,48.500%,58.300%,41.700%,48.700%,51.300%,35.900%,64.100%,41.100%,58.900%,24.100%,75.900%,33.300%,66.700%,41.300%,58.700%,44.500%,55.500%,34.100%,65.900%,51.100%,48.900%,55.500%,44.500%
Yuba_Total,"8,193","12,365","11,280","9,583","9,627","10,931","11,700","9,152","7,239","13,397","7,025","13,382","6,788","13,692","14,323","6,868","11,225","8,983","6,790","13,585","10,095","9,607","12,558","7,663"
