,Proposition 30,,Proposition 31,,Proposition 32,,Proposition 33,,Proposition 34,,Proposition 35,,Proposition 36,,Proposition 37,,Proposition 38,,Proposition 39,,Proposition 40,
,,,,,,,,,,,,,,,,,,,,,,
Marin,"89,664","41,122","50,673","68,332","42,190","85,745","39,888","85,213","87,477","41,226","105,702","21,653","106,577","21,594","81,246","49,020","35,241","91,364","88,933","35,683","96,610","21,348"
  Percent,68.6%,31.4%,42.6%,57.4%,33.0%,67.0%,31.9%,68.1%,68.0%,32.0%,83.0%,17.0%,83.2%,16.8%,62.4%,37.6%,27.8%,72.2%,71.4%,28.6%,81.9%,18.1%
,,,,,,,,,,,,,,,,,,,,,,
Mariposa,"3,383","5,530","2,883","5,516","4,541","4,272","3,429","5,256","2,801","6,016","6,743","2,012","5,071","3,710","3,445","5,377","1,828","6,917","3,927","4,722","5,644","2,741"
  Percent,38.0%,62.0%,34.3%,65.7%,51.5%,48.5%,39.5%,60.5%,31.8%,68.2%,77.0%,23.0%,57.7%,42.3%,39.1%,60.9%,20.9%,79.1%,45.4%,54.6%,67.3%,32.7%
,,,,,,,,,,,,,,,,,,,,,,
Mendocino,"22,098","12,905","10,911","21,417","12,575","21,899","11,376","22,355","18,378","16,120","27,552","6,833","27,061","7,451","21,067","14,015","10,695","23,348","23,530","10,115","23,212","8,755"
  Percent,63.1%,36.9%,33.8%,66.2%,36.5%,63.5%,33.7%,66.3%,53.3%,46.7%,80.1%,19.9%,78.4%,21.6%,60.1%,39.9%,31.4%,68.6%,69.9%,30.1%,72.6%,27.4%
,,,,,,,,,,,,,,,,,,,,,,
Merced,"32,552","28,788","25,180","33,069","28,332","32,420","27,463","32,316","22,127","37,942","49,282","11,003","35,648","23,515","23,655","35,860","17,167","42,070","32,388","26,041","37,784","19,396"
  Percent,53.1%,46.9%,43.2%,56.8%,46.6%,53.4%,45.9%,54.1%,36.8%,63.2%,81.7%,18.3%,60.3%,39.7%,39.7%,60.3%,29.0%,71.0%,55.4%,44.6%,66.1%,33.9%
,,,,,,,,,,,,,,,,,,,,,,
Modoc,"1,207","2,734","1,517","2,251","2,322","1,567","1,779","2,053",900,"2,999","3,133",755,"2,085","1,785","1,200","2,729",799,"3,107","1,340","2,519","2,503","1,223"
  Percent,30.6%,69.4%,40.3%,59.7%,59.7%,40.3%,46.4%,53.6%,23.1%,76.9%,80.6%,19.4%,53.9%,46.1%,30.5%,69.5%,20.5%,79.5%,34.7%,65.3%,67.2%,32.8%
,,,,,,,,,,,,,,,,,,,,,,
Mono,"2,575","2,477","1,897","2,803","2,565","2,374","2,235","2,691","1,945","3,028","4,047",918,"3,527","1,445","2,839","2,182","1,300","3,641","2,782","2,094","3,517","1,154"
  Percent,51.0%,49.0%,40.4%,59.6%,51.9%,48.1%,45.4%,54.6%,39.1%,60.9%,81.5%,18.5%,70.9%,29.1%,56.5%,43.5%,26.3%,73.7%,57.1%,42.9%,75.3%,24.7%
,,,,,,,,,,,,,,,,,,,,,,
Monterey,"79,559","41,175","45,540","67,994","45,939","72,859","46,420","71,075","63,151","55,652","102,879","16,127","88,851","30,131","67,334","52,662","35,337","84,434","76,561","40,747","85,764","29,358"
  Percent,65.9%,34.1%,40.1%,59.9%,38.7%,61.3%,39.5%,60.5%,53.2%,46.8%,86.4%,13.6%,74.7%,25.3%,56.1%,43.9%,29.5%,70.5%,65.3%,34.7%,74.5%,25.5%
,,,,,,,,,,,,,,,,,,,,,,
Napa,"32,921","22,504","21,068","29,986","23,272","31,174","23,319","30,171","27,123","27,380","45,843","8,412","38,300","15,923","27,162","27,973","15,248","38,788","32,737","20,367","37,896","12,565"
  Percent,59.4%,40.6%,41.3%,58.7%,42.7%,57.3%,43.6%,56.4%,49.8%,50.2%,84.5%,15.5%,70.6%,29.4%,49.3%,50.7%,28.2%,71.8%,61.6%,38.4%,75.1%,24.9%
,,,,,,,,,,,,,,,,,,,,,,
Nevada,"23,430","27,249","17,057","29,870","25,764","23,952","22,455","26,393","21,794","28,108","40,006","9,605","32,560","17,056","24,380","26,164","10,748","38,646","25,197","23,645","36,862","10,200"
  Percent,46.2%,53.8%,36.3%,63.7%,51.8%,48.2%,46.0%,54.0%,43.7%,56.3%,80.6%,19.4%,65.6%,34.4%,48.2%,51.8%,21.8%,78.2%,51.6%,48.4%,78.3%,21.7%
,,,,,,,,,,,,,,,,,,,,,,
Orange,"449,498","637,694","407,140","605,581","597,417","473,197","601,222","453,456","417,957","652,189","884,937","182,489","690,360","371,650","449,779","629,501","258,119","806,596","538,498","505,431","734,280","268,538"
  Percent,41.3%,58.7%,40.2%,59.8%,55.8%,44.2%,57.0%,43.0%,39.1%,60.9%,82.9%,17.1%,65.0%,35.0%,41.7%,58.3%,24.2%,75.8%,51.6%,48.4%,73.2%,26.8%
,,,,,,,,,,,,,,,,,,,,,,
Placer,"67,208","100,677","65,152","91,880","94,529","70,732","84,711","78,097","60,955","104,355","134,415","30,746","99,874","64,654","61,324","105,137","29,806","134,569","76,295","84,685","116,299","38,814"
  Percent,40.0%,60.0%,41.5%,58.5%,57.2%,42.8%,52.0%,48.0%,36.9%,63.1%,81.4%,18.6%,60.7%,39.3%,36.8%,63.2%,18.1%,81.9%,47.4%,52.6%,75.0%,25.0%
,,,,,,,,,,,,,,,,,,,,,,
Plumas,"4,054","5,871","3,865","5,626","5,519","4,341","4,570","5,143","3,192","6,643","8,181","1,654","6,236","3,582","3,921","5,984","2,083","7,684","4,236","5,437","6,859","2,585"
  Percent,40.8%,59.2%,40.7%,59.3%,56.0%,44.0%,47.1%,52.9%,32.5%,67.5%,83.2%,16.8%,63.5%,36.5%,39.6%,60.4%,21.3%,78.7%,43.8%,56.2%,72.6%,27.4%
,,,,,,,,,,,,,,,,,,,,,,
Riverside,"295,255","347,972","256,860","354,292","322,061","315,484","326,090","302,929","240,590","394,101","533,527","102,001","410,742","230,514","272,387","372,538","175,420","464,016","358,068","272,391","430,470","183,686"
  Percent,45.9%,54.1%,42.0%,58.0%,50.5%,49.5%,51.8%,48.2%,37.9%,62.1%,84.0%,16.0%,64.1%,35.9%,42.2%,57.8%,27.4%,72.6%,56.8%,43.2%,70.1%,29.9%
,,,,,,,,,,,,,,,,,,,,,,
Sacramento,"282,823","218,358","176,920","291,474","224,472","268,766","203,780","286,366","229,507","265,815","382,521","111,889","327,805","164,571","215,370","281,626","126,588","365,785","274,349","199,884","326,532","127,185"
  Percent,56.4%,43.6%,37.8%,62.2%,45.5%,54.5%,41.6%,58.4%,46.3%,53.7%,77.4%,22.6%,66.6%,33.4%,43.3%,56.7%,25.7%,74.3%,57.9%,42.1%,72.0%,28.0%
,,,,,,,,,,,,,,,,,,,,,,
San Benito,"11,015","7,720","6,467","11,159","7,721","10,709","7,937","10,086","7,757","10,578","15,679","2,711","12,460","5,804","8,360","10,174","4,884","13,447","10,299","7,614","12,740","4,830"
  Percent,58.8%,41.2%,36.7%,63.3%,41.9%,58.1%,44.0%,56.0%,42.3%,57.7%,85.3%,14.7%,68.2%,31.8%,45.1%,54.9%,26.6%,73.4%,57.5%,42.5%,72.5%,27.5%
,,,,,,,,,,,,,,,,,,,,,,
San Bernardino,"267,182","296,306","214,633","319,069","276,168","289,104","279,153","280,251","218,111","344,198","465,308","96,426","349,877","210,606","235,632","330,329","153,973","400,262","308,381","235,145","352,761","169,738"
  Percent,47.4%,52.6%,40.2%,59.8%,48.9%,51.1%,49.9%,50.1%,38.8%,61.2%,82.8%,17.2%,62.4%,37.6%,41.6%,58.4%,27.8%,72.2%,56.7%,43.3%,67.5%,32.5%
,,,,,,,,,,,,,,,,,,,,,,
San Diego,"551,242","604,934","457,276","605,575","575,194","558,485","537,388","578,894","516,029","619,035","950,010","181,641","767,315","356,681","561,495","581,529","296,092","823,029","614,794","481,213","796,633","256,183"
  Percent,47.7%,52.3%,43.0%,57.0%,50.7%,49.3%,48.1%,51.9%,45.5%,54.5%,83.9%,16.1%,68.3%,31.7%,49.1%,50.9%,26.5%,73.5%,56.1%,43.9%,75.7%,24.3%
,,,,,,,,,,,,,,,,,,,,,,
San Francisco,"268,726","79,532","108,099","207,266","94,659","244,016","92,809","238,384","239,425","102,055","238,995","92,349","281,443","51,504","230,657","107,695","117,802","212,211","244,489","78,511","250,075","58,174"
  Percent,77.2%,22.8%,34.3%,65.7%,27.9%,72.1%,28.0%,72.0%,70.1%,29.9%,72.1%,27.9%,84.5%,15.5%,68.2%,31.8%,35.7%,64.3%,75.7%,24.3%,81.1%,18.9%
,,,,,,,,,,,,,,,,,,,,,,
San Joaquin,"105,930","94,360","79,845","110,397","91,730","106,608","96,494","98,707","77,080","119,875","167,179","29,467","125,200","70,554","82,948","114,451","56,364","139,399","113,892","79,092","126,811","60,663"
  Percent,52.9%,47.1%,42.0%,58.0%,46.2%,53.8%,49.4%,50.6%,39.1%,60.9%,85.0%,15.0%,64.0%,36.0%,42.0%,58.0%,28.8%,71.2%,59.0%,41.0%,67.6%,32.4%
,,,,,,,,,,,,,,,,,,,,,,
San Luis Obispo,"66,011","56,530","48,139","64,321","59,502","60,371","51,312","65,465","51,525","68,127","97,921","21,586","81,719","37,737","56,964","64,530","30,842","87,709","65,367","51,575","85,371","27,178"
  Percent,53.9%,46.1%,42.8%,57.2%,49.6%,50.4%,43.9%,56.1%,43.1%,56.9%,81.9%,18.1%,68.4%,31.6%,46.9%,53.1%,26.0%,74.0%,55.9%,44.1%,75.9%,24.1%
,,,,,,,,,,,,,,,,,,,,,,
San Mateo,"179,803","98,171","101,570","152,628","96,597","175,118","104,779","161,246","154,945","116,451","225,022","45,363","207,569","62,587","147,022","128,011","80,167","187,582","177,548","82,962","191,418","56,860"
  Percent,64.7%,35.3%,40.0%,60.0%,35.6%,64.4%,39.4%,60.6%,57.1%,42.9%,83.2%,16.8%,76.8%,23.2%,53.5%,46.5%,29.9%,70.1%,68.2%,31.8%,77.1%,22.9%
,,,,,,,,,,,,,,,,,,,,,,
Santa Barbara,"91,784","67,839","53,517","93,247","69,481","85,851","64,273","88,268","75,992","79,199","124,037","31,203","111,525","43,398","81,383","76,311","41,535","112,191","92,004","59,423","109,702","35,693"
  Percent,57.5%,42.5%,36.5%,63.5%,44.7%,55.3%,42.1%,57.9%,49.0%,51.0%,79.9%,20.1%,72.0%,28.0%,51.6%,48.4%,27.0%,73.0%,60.8%,39.2%,75.5%,24.5%
,,,,,,,,,,,,,,,,,,,,,,
Santa Clara,"394,991","230,095","270,789","308,156","242,244","371,008","249,295","357,785","336,655","278,784","512,269","101,916","463,896","148,984","326,906","293,611","185,545","426,738","422,936","177,555","441,019","132,444"
  Percent,63.2%,36.8%,46.8%,53.2%,39.5%,60.5%,41.1%,58.9%,54.7%,45.3%,83.4%,16.6%,75.7%,24.3%,52.7%,47.3%,30.3%,69.7%,70.4%,29.6%,76.9%,23.1%
,,,,,,,,,,,,,,,,,,,,,,
Santa Cruz,"86,781","30,752","36,082","69,996","36,585","77,491","36,541","75,324","72,956","42,040","89,556","24,135","93,599","21,295","78,477","38,636","36,658","76,366","83,211","28,408","80,842","24,495"
  Percent,73.8%,26.2%,34.0%,66.0%,32.1%,67.9%,32.7%,67.3%,63.4%,36.6%,78.8%,21.2%,81.5%,18.5%,67.0%,33.0%,32.4%,67.6%,74.5%,25.5%,76.7%,23.3%
,,,,,,,,,,,,,,,,,,,,,,
Shasta,"28,682","45,547","31,643","37,923","40,526","32,581","35,573","36,612","20,105","53,093","60,715","12,485","42,022","31,053","29,206","44,697","15,501","57,285","31,502","40,113","49,002","20,142"
  Percent,38.6%,61.4%,45.5%,54.5%,55.4%,44.6%,49.3%,50.7%,27.5%,72.5%,82.9%,17.1%,57.5%,42.5%,39.5%,60.5%,21.3%,78.7%,44.0%,56.0%,70.9%,29.1%
,,,,,,,,,,,,,,,,,,,,,,
Sierra,682,"1,077",585,"1,091",934,798,614,"1,096",551,"1,204","1,406",338,"1,085",653,724,"1,016",334,"1,398",726,989,"1,208",475
  Percent,38.8%,61.2%,34.9%,65.1%,53.9%,46.1%,35.9%,64.1%,31.4%,68.6%,80.6%,19.4%,62.4%,37.6%,41.6%,58.4%,19.3%,80.7%,42.3%,57.7%,71.8%,28.2%
,,,,,,,,,,,,,,,,,,,,,,
Siskiyou,"7,871","11,568","8,264","10,050","10,782","8,346","8,748","10,182","6,256","12,931","16,009","3,153","12,255","6,951","10,042","9,416","4,375","14,729","8,950","9,804","13,205","4,813"
  Percent,40.5%,59.5%,45.1%,54.9%,56.4%,43.6%,46.2%,53.8%,32.6%,67.4%,83.5%,16.5%,63.8%,36.2%,51.6%,48.4%,22.9%,77.1%,47.7%,52.3%,73.3%,26.7%
,,,,,,,,,,,,,,,,,,,,,,
Solano,"89,128","60,425","56,689","84,026","59,929","87,938","60,964","84,304","69,577","77,325","124,044","22,636","103,749","42,866","69,613","78,042","46,097","99,530","92,421","50,825","97,879","41,245"
  Percent,59.6%,40.4%,40.3%,59.7%,40.5%,59.5%,42.0%,58.0%,47.4%,52.6%,84.6%,15.4%,70.8%,29.2%,47.1%,52.9%,31.7%,68.3%,64.5%,35.5%,70.4%,29.6%
,,,,,,,,,,,,,,,,,,,,,,
Sonoma,"140,887","70,737","79,357","116,197","67,613","140,524","69,899","134,524","116,943","89,946","168,518","37,282","157,016","49,179","112,586","96,810","60,631","144,098","145,076","57,623","147,602","46,049"
  Percent,66.6%,33.4%,40.6%,59.4%,32.5%,67.5%,34.2%,65.8%,56.5%,43.5%,81.9%,18.1%,76.1%,23.9%,53.8%,46.2%,29.6%,70.4%,71.6%,28.4%,76.2%,23.8%
,,,,,,,,,,,,,,,,,,,,,,
Stanislaus,"82,616","69,945","64,338","79,631","70,382","80,860","67,726","81,258","53,556","96,790","127,762","22,785","91,911","57,936","61,583","88,999","41,394","108,400","78,085","68,950","97,178","46,838"
  Percent,54.2%,45.8%,44.7%,55.3%,46.5%,53.5%,45.5%,54.5%,35.6%,64.4%,84.9%,15.1%,61.3%,38.7%,40.9%,59.1%,27.6%,72.4%,53.1%,46.9%,67.5%,32.5%
,,,,,,,,,,,,,,,,,,,,,,
Sutter,"11,656","18,293","12,546","15,791","16,296","13,318","15,455","13,656","9,432","20,060","23,576","5,793","16,865","12,425","9,724","19,930","6,534","22,819","12,977","16,033","18,765","9,445"
  Percent,38.9%,61.1%,44.3%,55.7%,55.0%,45.0%,53.1%,46.9%,32.0%,68.0%,80.3%,19.7%,57.6%,42.4%,32.8%,67.2%,22.3%,77.7%,44.7%,55.3%,66.5%,33.5%
,,,,,,,,,,,,,,,,,,,,,,
Tehama,"8,548","14,106","9,402","12,241","12,012","10,372","10,561","11,577","6,027","16,310","17,822","4,522","12,913","9,424","7,773","14,738","4,769","17,562","9,551","12,553","14,821","6,651"
  Percent,37.7%,62.3%,43.4%,56.6%,53.7%,46.3%,47.7%,52.3%,27.0%,73.0%,79.8%,20.2%,57.8%,42.2%,34.5%,65.5%,21.4%,78.6%,43.2%,56.8%,69.0%,31.0%
,,,,,,,,,,,,,,,,,,,,,,
Trinity,"2,638","3,046","1,940","3,453","2,615","2,969","2,186","3,302","1,986","3,605","4,394","1,196","3,810","1,796","2,701","2,959","1,577","3,994","2,899","2,628","3,520","1,849"
  Percent,46.4%,53.6%,36.0%,64.0%,46.8%,53.2%,39.8%,60.2%,35.5%,64.5%,78.6%,21.4%,68.0%,32.0%,47.7%,52.3%,28.3%,71.7%,52.5%,47.5%,65.6%,34.4%
,,,,,,,,,,,,,,,,,,,,,,
Tulare,"41,701","57,946","41,406","53,589","53,522","45,084","48,940","48,379","30,829","67,128","81,121","16,982","52,831","45,022","33,658","64,652","25,589","72,096","44,887","51,137","62,027","31,891"
  Percent,41.8%,58.2%,43.6%,56.4%,54.3%,45.7%,50.3%,49.7%,31.5%,68.5%,82.7%,17.3%,54.0%,46.0%,34.2%,65.8%,26.2%,73.8%,46.7%,53.3%,66.0%,34.0%
,,,,,,,,,,,,,,,,,,,,,,
Tuolumne,"10,124","14,110","8,374","14,343","12,210","11,736","9,593","13,918","7,945","16,026","19,610","4,291","15,969","7,829","10,191","13,874","4,870","18,966","11,467","11,988","15,939","6,696"
  Percent,41.8%,58.2%,36.9%,63.1%,51.0%,49.0%,40.8%,59.2%,33.1%,66.9%,82.0%,18.0%,67.1%,32.9%,42.3%,57.7%,20.4%,79.6%,48.9%,51.1%,70.4%,29.6%
,,,,,,,,,,,,,,,,,,,,,,
Ventura,"160,073","158,285","118,032","179,872","147,405","165,688","150,067","157,649","134,230","176,531","249,588","60,214","201,728","113,673","143,480","175,710","77,658","237,527","177,268","132,112","214,980","83,213"
  Percent,50.3%,49.7%,39.6%,60.4%,47.1%,52.9%,48.8%,51.2%,43.2%,56.8%,80.6%,19.4%,64.0%,36.0%,45.0%,55.0%,24.6%,75.4%,57.3%,42.7%,72.1%,27.9%
,,,,,,,,,,,,,,,,,,,,,,
Yolo,"47,649","25,939","24,930","43,105","27,233","44,675","26,625","43,892","40,522","31,681","53,918","17,754","53,136","18,681","31,748","40,685","20,254","51,095","45,100","25,034","50,694","16,603"
  Percent,64.8%,35.2%,36.6%,63.4%,37.9%,62.1%,37.8%,62.2%,56.1%,43.9%,75.2%,24.8%,74.0%,26.0%,43.8%,56.2%,28.4%,71.6%,64.3%,35.7%,75.3%,24.7%
,,,,,,,,,,,,,,,,,,,,,,
Yuba,"7,543","11,940","8,271","10,398","10,323","8,969","9,622","9,487","6,403","12,878","15,716","3,560","11,739","7,553","7,005","12,311","4,322","14,822","8,314","10,580","11,721","6,666"
  Percent,38.7%,61.3%,44.3%,55.7%,53.5%,46.5%,50.4%,49.6%,33.2%,66.8%,81.5%,18.5%,60.8%,39.2%,36.3%,63.7%,22.6%,77.4%,44.0%,56.0%,63.7%,36.3%
,,,,,,,,,,,,,,,,,,,,,,
