,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Proposition No. 1A,,Proposition No. 1B,,Proposition No. 1C,,Proposition No. 1D,,,Proposition No. 1E,,,Proposition No. 83,,Proposition No. 84,,Proposition No. 85,,Proposition No. 86,,Proposition No. 87,,Proposition No. 88,,Proposition No. 89,,Proposition No. 90,,,,,,,,,,,,,,,,,
Colusa,"3,271","1,497","2,320","2,424","2,214","2,526","2,140","2,590",,"2,975","1,787",,"3,491","1,304","1,663","2,902","2,718","2,081","1,449","3,427","1,083","3,742",658,"4,130",602,"4,141","2,372","2,381",,,,,,,,,,,,,,,,
  Percent,68.7%,31.3%,48.9%,51.1%,46.7%,53.3%,45.2%,54.8%,,62.5%,37.5%,,72.9%,27.1%,36.4%,63.6%,56.7%,43.3%,29.7%,70.3%,22.4%,77.6%,13.7%,86.3%,12.6%,87.4%,49.9%,50.1%,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contra Costa,"234,457","58,224","195,817","96,323","179,713","111,918","182,856","108,765",,"210,524","81,601",,"200,464","92,931","174,136","114,778","113,768","181,989","159,028","140,501","147,591","151,334","77,050","215,613","83,570","203,448","133,554","155,487",,,,,,,,,,,,,,,,
  Percent,80.2%,19.8%,67.1%,32.9%,61.7%,38.3%,62.8%,37.2%,,72.1%,27.9%,,68.4%,31.6%,60.3%,39.7%,38.4%,61.6%,53.1%,46.9%,49.3%,50.7%,26.3%,73.7%,29.1%,70.9%,46.2%,53.8%,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Del Norte,"4,518","2,043","3,005","3,554","3,196","3,360","2,871","3,689",,"3,170","3,375",,"4,870","1,764","2,166","4,326","3,222","3,413","2,598","4,087","2,529","4,093","1,307","5,290","1,495","5,051","3,492","3,063",,,,,,,,,,,,,,,,
  Percent,68.9%,31.1%,45.8%,54.2%,48.7%,51.3%,43.7%,56.3%,,48.4%,51.6%,,73.5%,26.5%,33.3%,66.7%,48.5%,51.5%,38.8%,61.2%,38.1%,61.9%,19.8%,80.2%,22.8%,77.2%,53.3%,46.7%,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Dorado,"50,583","14,802","35,091","30,224","31,415","33,820","30,389","35,070",,"36,373","28,889",,"46,305","19,933","25,460","38,936","33,070","32,994","26,287","40,723","22,377","44,089","11,696","54,211","12,593","52,505","35,189","29,886",,,,,,,,,,,,,,,,
  Percent,77.4%,22.6%,53.8%,46.2%,48.1%,51.9%,46.4%,53.6%,,55.8%,44.2%,,70.0%,30.0%,39.5%,60.5%,50.1%,49.9%,39.2%,60.8%,33.6%,66.4%,17.7%,82.3%,19.3%,80.7%,54.1%,45.9%,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fresno,"123,375","43,475","101,695","65,053","94,484","71,466","91,984","73,963",,"98,710","66,205",,"125,211","42,964","79,640","83,716","97,187","70,597","65,071","104,916","57,848","110,305","32,674","133,058","29,374","135,970","88,446","76,578",,,,,,,,,,,,,,,,
  Percent,74.0%,26.0%,61.0%,39.0%,57.0%,43.0%,55.5%,44.5%,,59.9%,40.1%,,74.5%,25.5%,48.7%,51.3%,58.0%,42.0%,38.2%,61.8%,34.4%,65.6%,19.7%,80.3%,17.7%,82.3%,53.6%,46.4%,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glenn,"5,032","2,274","3,198","4,098","3,118","4,187","2,772","4,538",,"4,307","3,029",,"5,226","2,191","2,166","5,071","3,965","3,392","1,880","5,613","1,678","5,779",985,"6,389",863,"6,458","3,898","3,298",,,,,,,,,,,,,,,,
  Percent,68.9%,31.1%,43.8%,56.2%,42.6%,57.4%,37.9%,62.1%,,58.8%,41.2%,,70.5%,29.5%,29.9%,70.1%,53.9%,46.1%,25.0%,75.0%,22.5%,77.5%,13.3%,86.7%,11.7%,88.3%,54.2%,45.8%,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Humboldt,"31,402","14,609","23,106","22,960","25,589","20,688","24,890","21,478",,"24,833","21,172",,"29,283","17,592","19,744","25,809","16,392","30,725","21,166","26,520","23,975","23,300","11,257","35,150","17,490","28,490","20,362","23,667",,,,,,,,,,,,,,,,
  Percent,68.3%,31.7%,50.2%,49.8%,55.3%,44.7%,53.7%,46.3%,,54.0%,46.0%,,62.5%,37.5%,43.3%,56.7%,34.7%,65.3%,44.3%,55.7%,50.8%,49.2%,24.2%,75.8%,38.0%,62.0%,46.2%,53.8%,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Imperial,"16,113","5,474","13,058","8,527","13,285","8,264","12,932","8,690",,"12,807","8,652",,"18,334","3,599","10,913","10,550","14,814","7,110","11,156","10,735","9,449","12,281","5,841","15,788","4,473","17,040","11,140","10,415",,,,,,,,,,,,,,,,
  Percent,74.7%,25.3%,60.5%,39.5%,61.7%,38.3%,59.9%,40.1%,,59.7%,40.3%,,83.6%,16.4%,50.9%,49.1%,67.6%,32.4%,51.0%,49.0%,43.4%,56.6%,27.0%,73.0%,20.7%,79.3%,51.7%,48.3%,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inyo,"4,468","1,786","3,266","3,036","2,781","3,497","2,713","3,563",,"3,062","3,207",,"4,448","1,920","2,240","4,035","2,995","3,366","2,376","4,089","2,091","4,322","1,083","5,273","1,310","4,966","2,931","3,374",,,,,,,,,,,,,,,,
  Percent,71.5%,28.5%,51.9%,48.1%,44.2%,55.8%,43.2%,56.8%,,48.8%,51.2%,,69.9%,30.1%,35.6%,64.4%,47.0%,53.0%,36.7%,63.3%,32.6%,67.4%,17.0%,83.0%,20.8%,79.2%,46.4%,53.6%,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kern,"114,315","32,448","85,463","62,178","73,766","73,094","73,660","73,255",,"84,068","62,593",,"114,398","33,455","58,195","87,296","92,563","55,190","48,195","100,829","40,830","107,136","27,736","119,046","21,840","124,481","82,743","63,265",,,,,,,,,,,,,,,,
  Percent,77.9%,22.1%,57.9%,42.1%,50.3%,49.7%,50.2%,49.8%,,57.4%,42.6%,,77.4%,22.6%,39.9%,60.1%,62.7%,37.3%,32.3%,67.7%,27.5%,72.5%,18.8%,81.2%,14.9%,85.1%,56.7%,43.3%,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kings,"16,045","6,381","12,283","10,168","11,840","10,547","11,103","11,281",,"12,362","9,961",,"17,027","5,612","9,560","12,632","14,543","8,093","8,066","14,739","6,423","16,201","3,944","18,482","3,162","19,145","11,665","10,601",,,,,,,,,,,,,,,,
  Percent,71.6%,28.4%,54.8%,45.2%,52.9%,47.1%,49.6%,50.4%,,55.4%,44.6%,,75.3%,24.7%,43.0%,57.0%,64.3%,35.7%,35.3%,64.7%,28.3%,71.7%,17.5%,82.5%,14.1%,85.9%,52.4%,47.6%,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lake,"13,661","4,852","9,104","9,401","9,803","9,248","8,700","10,314",,"11,256","7,753",,"12,898","6,093","8,201","10,593","7,891","11,011","7,189","11,972","7,840","11,408","3,511","15,479","4,252","14,603","8,456","10,453",,,,,,,,,,,,,,,,
  Percent,73.8%,26.2%,49.1%,50.9%,51.5%,48.5%,45.7%,54.3%,,59.3%,40.7%,,68.0%,32.0%,43.6%,56.4%,41.7%,58.3%,37.5%,62.5%,40.7%,59.3%,18.4%,81.6%,22.5%,77.5%,44.7%,55.3%,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lassen,"5,693","2,552","3,113","5,140","3,696","4,644","3,345","4,998",,"3,397","4,884",,"6,276","2,227","2,380","5,880","4,711","3,693","2,971","5,574","2,241","6,148","1,276","7,125","1,335","6,998","4,677","3,699",,,,,,,,,,,,,,,,
  Percent,69.1%,30.9%,37.7%,62.3%,44.3%,55.7%,40.0%,60.0%,,41.0%,59.0%,,73.9%,26.1%,28.8%,71.2%,56.1%,43.9%,34.7%,65.3%,26.7%,73.3%,15.1%,84.9%,16.0%,84.0%,55.9%,44.1%,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Los Angeles,"1,413,377","436,271","1,219,112","643,544","1,142,754","723,946","1,142,764","738,718",,"1,214,205","610,173",,"1,338,627","527,967","1,107,134","724,094","832,215","1,053,390","1,004,446","917,073","972,967","921,590","460,671","1,390,891","508,355","1,325,761","819,472","1,038,410",,,,,,,,,,,,,,,,
  Percent,76.5%,23.5%,65.5%,34.5%,61.3%,38.7%,60.8%,39.2%,,66.6%,33.4%,,71.8%,28.2%,60.5%,39.5%,44.1%,55.9%,52.3%,47.7%,51.4%,48.6%,24.8%,75.2%,27.7%,72.3%,44.1%,55.9%,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madera,"21,659","7,463","15,801","13,328","15,182","13,983","13,923","15,534",,"15,973","13,476",,"22,377","7,406","11,490","17,298","17,720","11,592","10,200","19,416","9,031","20,347","4,774","24,625","4,489","24,742","16,541","12,567",,,,,,,,,,,,,,,,
  Percent,74.4%,25.6%,54.3%,45.7%,52.1%,47.9%,47.2%,52.8%,,54.3%,45.7%,,75.2%,24.8%,39.9%,60.1%,60.5%,39.5%,34.4%,65.6%,30.7%,69.3%,16.2%,83.8%,15.3%,84.7%,56.9%,43.1%,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marin,"73,833","26,656","63,789","36,445","64,169","36,484","63,548","37,759",,"70,739","29,999",,"60,959","40,809","61,762","37,634","24,601","78,642","65,494","39,556","64,855","39,856","31,796","70,007","44,370","55,755","35,445","64,352",,,,,,,,,,,,,,,,
  Percent,73.5%,26.5%,63.7%,36.3%,63.8%,36.2%,62.8%,37.2%,,70.3%,29.7%,,59.9%,40.1%,62.2%,37.8%,23.8%,76.2%,62.4%,37.6%,62.0%,38.0%,31.2%,68.8%,44.3%,55.7%,35.5%,64.5%,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mariposa,"5,300","2,150","3,676","3,776","3,519","3,949","3,285","4,181",,"3,659","3,779",,"5,245","2,289","2,826","4,604","3,745","3,797","2,619","5,002","2,651","4,931","1,114","6,430","1,258","6,175","3,510","3,931",,,,,,,,,,,,,,,,
  Percent,71.2%,28.8%,49.3%,50.7%,47.1%,52.9%,43.9%,56.1%,,49.1%,50.9%,,69.7%,30.3%,38.0%,62.0%,49.6%,50.4%,34.3%,65.7%,34.9%,65.1%,14.7%,85.3%,16.9%,83.1%,47.1%,52.9%,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mendocino,"21,024","8,497","15,079","14,310","17,408","12,225","15,817","13,825",,"16,779","12,651",,"17,810","11,989","14,802","14,546","8,775","21,326","15,026","15,551","16,046","14,309","6,827","23,001","10,125","19,238","12,485","17,037",,,,,,,,,,,,,,,,
  Percent,71.3%,28.7%,51.4%,48.6%,58.8%,41.2%,53.4%,46.6%,,57.1%,42.9%,,59.8%,40.2%,50.5%,49.5%,29.1%,70.9%,49.1%,50.9%,52.9%,47.1%,22.8%,77.2%,34.4%,65.6%,42.2%,57.8%,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Merced,"28,945","12,091","22,482","18,411","21,733","19,056","21,384","19,529",,"22,902","17,561",,"29,779","11,440","18,195","22,328","24,353","16,700","15,795","25,884","12,854","28,336","7,649","32,943","6,060","34,078","20,375","19,801",,,,,,,,,,,,,,,,
  Percent,70.6%,29.4%,55.0%,45.0%,53.3%,46.7%,52.3%,47.7%,,56.6%,43.4%,,72.3%,27.7%,44.9%,55.1%,59.4%,40.6%,37.8%,62.2%,31.2%,68.8%,18.8%,81.2%,15.0%,85.0%,50.8%,49.2%,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Modoc,"2,581","1,064","1,440","2,167","1,694","1,941","1,462","2,185",,"1,758","1,859",,"2,780",910,930,"2,599","1,907","1,701",977,"2,762",867,"2,834",427,"3,241",456,"3,181","1,980","1,669",,,,,,,,,,,,,,,,
  Percent,70.9%,29.1%,39.9%,60.1%,46.6%,53.4%,40.0%,60.0%,,48.6%,51.4%,,75.4%,24.6%,26.3%,73.7%,52.9%,47.1%,26.1%,73.9%,23.4%,76.6%,11.6%,88.4%,12.5%,87.5%,54.3%,45.7%,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mono,"2,598","1,055","1,772","1,887","1,650","1,998","1,648","2,012",,"1,668","1,946",,"2,539","1,169","1,510","2,127","1,451","2,268","1,920","1,828","1,650","2,054",796,"2,889",878,"2,759","1,808","1,841",,,,,,,,,,,,,,,,
  Percent,71.2%,28.8%,48.4%,51.6%,45.2%,54.8%,45.0%,55.0%,,46.1%,53.9%,,68.5%,31.5%,41.5%,58.5%,39.0%,61.0%,51.3%,48.7%,44.5%,55.5%,21.6%,78.4%,24.1%,75.9%,49.5%,50.5%,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monterey,"67,769","18,358","58,042","28,131","54,314","31,746","54,013","32,012",,"57,528","28,076",,"61,539","25,083","50,072","35,440","35,283","51,471","46,681","41,008","45,084","42,061","20,566","65,766","30,328","55,382","36,820","48,974",,,,,,,,,,,,,,,,
  Percent,78.7%,21.3%,67.4%,32.6%,63.2%,36.8%,62.8%,37.2%,,67.3%,32.7%,,71.1%,28.9%,58.6%,41.4%,40.6%,59.4%,53.3%,46.7%,51.8%,48.2%,23.8%,76.2%,35.3%,64.7%,42.9%,57.1%,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Napa,"29,321","12,000","23,295","17,933","22,715","18,523","21,544","19,819",,"25,328","15,937",,"27,855","13,938","20,039","20,941","15,475","26,407","20,799","21,612","19,750","22,532","9,302","32,086","9,805","31,290","16,808","24,331",,,,,,,,,,,,,,,,
  Percent,71.0%,29.0%,56.6%,43.4%,55.1%,44.9%,52.1%,47.9%,,61.4%,38.6%,,66.7%,33.3%,48.8%,51.2%,36.9%,63.1%,49.0%,51.0%,46.7%,53.3%,22.4%,77.6%,23.8%,76.2%,40.8%,59.2%,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,"31,487","9,987","19,859","21,336","20,366","20,968","19,069","22,416",,"24,984","16,322",,"27,347","14,454","17,177","23,975","18,803","23,230","17,219","25,420","17,027","25,308","7,724","34,070","10,142","31,435","21,714","19,070",,,,,,,,,,,,,,,,
  Percent,76.0%,24.0%,48.2%,51.8%,49.2%,50.8%,45.9%,54.1%,,60.5%,39.5%,,65.5%,34.5%,41.7%,58.3%,44.7%,55.3%,40.3%,59.7%,40.2%,59.8%,18.4%,81.6%,24.3%,75.7%,53.3%,46.7%,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orange,"553,453","142,755","379,773","317,130","337,532","357,870","339,525","356,984",,"392,823","301,141",,"533,209","177,887","323,142","369,500","392,982","317,385","322,201","396,759","260,462","452,644","139,462","563,302","133,266","563,426","409,815","289,060",,,,,,,,,,,,,,,,
  Percent,79.5%,20.5%,54.5%,45.5%,48.5%,51.5%,48.7%,51.3%,,56.7%,43.3%,,75.0%,25.0%,46.6%,53.4%,55.4%,44.6%,44.8%,55.2%,36.5%,63.5%,19.8%,80.2%,19.1%,80.9%,58.7%,41.3%,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Placer,"94,468","24,515","66,028","52,690","58,749","59,515","56,052","62,780",,"69,129","49,518",,"87,857","32,516","47,628","68,981","62,913","56,952","49,419","72,564","39,648","81,183","20,821","98,664","21,406","96,304","64,061","52,818",,,,,,,,,,,,,,,,
  Percent,79.4%,20.6%,55.7%,44.3%,49.6%,50.4%,47.1%,52.9%,,58.3%,41.7%,,73.0%,27.0%,40.8%,59.2%,52.5%,47.5%,40.5%,59.5%,32.8%,67.2%,17.4%,82.6%,18.1%,81.9%,54.9%,45.1%,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plumas,"6,188","2,409","3,855","4,743","3,968","4,648","3,651","4,973",,"4,247","4,356",,"6,011","2,677","2,858","5,663","4,114","4,551","3,122","5,718","2,947","5,815","1,486","7,203","1,760","6,862","4,675","3,982",,,,,,,,,,,,,,,,
  Percent,72.0%,28.0%,44.8%,55.2%,46.0%,54.0%,42.3%,57.7%,,49.3%,50.7%,,69.2%,30.8%,33.5%,66.5%,47.4%,52.6%,35.3%,64.7%,33.6%,66.4%,17.1%,82.9%,20.4%,79.6%,54.1%,45.9%,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Riverside,"302,949","70,020","240,786","133,405","209,105","167,205","205,780","170,617",,"234,796","141,705",,"304,715","75,467","190,217","182,980","213,658","164,699","160,637","220,884","139,811","240,934","76,352","300,691","67,726","306,115","193,290","180,846",,,,,,,,,,,,,,,,
  Percent,81.3%,18.7%,64.4%,35.6%,55.6%,44.4%,54.7%,45.3%,,62.4%,37.6%,,80.2%,19.8%,51.0%,49.0%,56.5%,43.5%,42.1%,57.9%,36.7%,63.3%,20.2%,79.8%,18.1%,81.9%,51.7%,48.3%,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sacramento,"264,598","85,849","220,609","129,750","205,666","143,555","199,518","149,931",,"251,854","98,503",,"245,292","107,923","183,327","162,686","165,699","187,913","150,729","207,958","140,874","214,262","74,112","275,890","71,738","274,873","169,782","176,511",,,,,,,,,,,,,,,,
  Percent,75.6%,24.4%,63.0%,37.0%,58.9%,41.1%,57.1%,42.9%,,71.9%,28.1%,,69.5%,30.5%,53.0%,47.0%,46.8%,53.2%,42.0%,58.0%,39.6%,60.4%,21.1%,78.9%,20.6%,79.4%,49.0%,51.0%,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Benito,"10,922","3,123","8,426","5,563","8,119","5,873","7,997","6,023",,"8,464","5,476",,"10,293","3,866","7,034","6,869","6,489","7,678","6,563","7,796","5,960","8,270","2,937","11,190","3,144","10,828","6,396","7,552",,,,,,,,,,,,,,,,
  Percent,77.8%,22.2%,60.3%,39.7%,58.1%,41.9%,57.1%,42.9%,,60.8%,39.2%,,72.7%,27.3%,50.6%,49.4%,45.8%,54.2%,45.7%,54.3%,41.8%,58.2%,20.7%,79.3%,22.5%,77.5%,45.8%,54.2%,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Bernardino,"266,528","71,092","200,846","137,071","181,107","155,797","177,478","159,657",,"194,562","140,276",,"263,425","77,673","160,225","175,036","191,083","149,112","141,537","202,078","125,421","217,300","67,417","269,935","60,250","275,004","177,097","157,701",,,,,,,,,,,,,,,,
  Percent,79.0%,21.0%,59.5%,40.5%,53.8%,46.2%,52.7%,47.3%,,58.2%,41.8%,,77.3%,22.7%,47.7%,52.3%,56.2%,43.8%,41.1%,58.9%,36.5%,63.5%,19.9%,80.1%,17.9%,82.1%,52.9%,47.1%,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Diego,"599,606","141,325","452,477","288,738","404,644","337,403","390,266","350,421",,"453,825","283,129",,"578,379","177,046","364,272","369,468","384,747","372,042","351,967","414,518","319,913","440,103","156,578","588,136","178,439","559,122","394,216","340,425",,,,,,,,,,,,,,,,
  Percent,81.0%,19.0%,61.1%,38.9%,54.6%,45.4%,52.7%,47.3%,,61.6%,38.4%,,76.6%,23.4%,49.6%,50.4%,50.9%,49.1%,45.9%,54.1%,42.0%,58.0%,21.0%,79.0%,24.1%,75.9%,53.7%,46.3%,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Francisco,"160,872","74,243","152,220","83,073","172,112","64,999","172,869","64,478",,"176,818","55,940",,"111,423","122,814","167,818","64,784","56,379","181,347","162,155","78,683","173,892","68,899","88,931","147,537","120,414","113,075","67,865","165,769",,,,,,,,,,,,,,,,
  Percent,68.5%,31.5%,64.7%,35.3%,72.6%,27.4%,72.9%,27.1%,,76.0%,24.0%,,47.5%,52.5%,72.2%,27.8%,23.7%,76.3%,67.4%,32.6%,71.7%,28.3%,37.6%,62.4%,51.6%,48.4%,29.0%,71.0%,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Joaquin,"102,819","30,674","80,969","52,937","76,837","56,791","74,119","59,720",,"91,521","42,337",,"102,492","33,433","65,037","67,593","73,239","61,701","56,336","80,746","50,298","85,483","28,931","105,548","27,064","106,370","69,137","64,373",,,,,,,,,,,,,,,,
  Percent,77.1%,22.9%,60.5%,39.5%,57.6%,42.4%,55.4%,44.6%,,68.4%,31.6%,,75.5%,24.5%,49.0%,51.0%,54.3%,45.7%,41.0%,59.0%,37.0%,63.0%,21.5%,78.5%,20.2%,79.8%,51.8%,48.2%,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Luis Obispo,"71,375","20,323","50,491","40,952","49,056","42,441","47,092","44,828",,"50,689","40,356",,"67,201","26,467","40,710","49,289","41,583","52,186","43,844","51,689","42,177","51,964","21,668","70,646","23,440","67,581","47,725","42,786",,,,,,,,,,,,,,,,
  Percent,77.9%,22.1%,55.3%,44.7%,53.7%,46.3%,51.3%,48.7%,,55.7%,44.3%,,71.8%,28.2%,45.2%,54.8%,44.3%,55.7%,45.8%,54.2%,44.8%,55.2%,23.4%,76.6%,25.7%,74.3%,52.8%,47.2%,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
