,Proposition 19,,Proposition 20,,Proposition 21,,Proposition 22,,Proposition 23,,Proposition 24,,Proposition 25,,Proposition 26,,Proposition 27,
Calaveras,"8,554","11,109","13,003","5,832","6,965","12,596","12,559","6,346","9,515","9,742","6,663","12,178","9,811","9,527","11,277","7,600","6,244","12,416"
  Percent,43.5%,56.5%,69.1%,30.9%,35.6%,64.4%,66.5%,33.5%,49.4%,50.6%,35.3%,64.7%,50.8%,49.2%,59.8%,40.2%,33.4%,66.6%
,,,,,,,,,,,,,,,,,,
Colusa,"1,644","3,530","3,363","1,592","1,134","3,979","3,320","1,625","2,904","2,113","1,449","3,517","2,004","3,052","3,209","1,776","1,604","3,321"
  Percent,31.7%,68.3%,67.9%,32.1%,22.1%,77.9%,67.2%,32.8%,57.9%,42.1%,29.1%,70.9%,39.6%,60.4%,64.4%,35.6%,32.5%,67.5%
,,,,,,,,,,,,,,,,,,
Contra Costa,"168,219","175,795","194,117","129,398","156,327","182,865","191,498","134,708","108,652","224,321","147,489","171,731","206,867","122,771","150,441","172,812","135,672","182,173"
  Percent,48.8%,51.2%,60.1%,39.9%,46.0%,54.0%,58.8%,41.2%,32.6%,67.4%,46.2%,53.8%,62.8%,37.2%,46.5%,53.5%,42.6%,57.4%
,,,,,,,,,,,,,,,,,,
Del Norte,"4,058","4,083","4,469","3,164","2,591","5,391","4,733","3,031","3,859","3,964","3,041","4,621","4,070","3,696","4,466","3,180","3,146","4,455"
  Percent,49.8%,50.2%,58.6%,41.4%,32.4%,67.6%,61.0%,39.0%,49.3%,50.7%,39.6%,60.4%,52.5%,47.5%,58.5%,41.5%,41.3%,58.7%
,,,,,,,,,,,,,,,,,,
El Dorado,"31,245","46,125","48,870","23,941","30,404","45,618","47,045","26,154","36,723","38,309","23,568","48,906","33,571","40,941","42,509","29,782","22,469","48,635"
  Percent,40.3%,59.7%,67.2%,32.8%,39.9%,60.1%,64.3%,35.7%,48.9%,51.1%,32.5%,67.5%,45.0%,55.0%,58.9%,41.1%,31.6%,68.4%
,,,,,,,,,,,,,,,,,,
Fresno,"72,088","127,004","126,765","60,540","61,712","133,363","120,591","68,396","91,126","101,548","64,246","124,109","86,501","105,312","115,762","72,629","63,621","121,773"
  Percent,36.2%,63.8%,67.7%,32.3%,31.6%,68.4%,63.9%,36.1%,47.2%,52.8%,34.1%,65.9%,45.0%,55.0%,61.5%,38.5%,34.3%,65.7%
,,,,,,,,,,,,,,,,,,
Glenn,"2,744","5,224","5,026","2,499","1,624","6,206","5,288","2,338","4,464","3,302","2,207","5,353","2,970","4,690","4,668","2,892","2,404","5,066"
  Percent,34.4%,65.6%,66.8%,33.2%,20.7%,79.3%,69.4%,30.6%,57.5%,42.5%,29.1%,70.9%,38.7%,61.3%,61.8%,38.2%,32.1%,67.9%
,,,,,,,,,,,,,,,,,,
Humboldt,"23,626","27,220","23,680","22,310","24,086","25,549","27,542","19,236","16,413","32,161","21,566","24,633","27,962","19,524","19,892","26,489","17,118","27,792"
  Percent,46.4%,53.6%,51.5%,48.5%,48.5%,51.5%,58.9%,41.1%,33.7%,66.3%,46.6%,53.4%,58.9%,41.1%,42.8%,57.2%,38.1%,61.9%
,,,,,,,,,,,,,,,,,,
Imperial,"8,692","18,175","13,730","11,718","8,201","18,139","16,223","9,652","12,361","13,545","11,237","14,289","13,522","12,332","14,172","11,491","12,346","12,990"
  Percent,32.3%,67.7%,54.0%,46.0%,31.1%,68.9%,62.7%,37.3%,47.7%,52.3%,44.0%,56.0%,52.4%,47.6%,55.3%,44.7%,48.7%,51.3%
,,,,,,,,,,,,,,,,,,
Inyo,"3,168","3,807","4,281","2,279","2,167","4,719","4,271","2,346","3,164","3,602","2,470","4,099","3,224","3,492","3,855","2,707","2,029","4,430"
  Percent,45.4%,54.6%,65.3%,34.7%,31.4%,68.6%,64.6%,35.4%,46.7%,53.3%,37.6%,62.4%,48.0%,52.0%,58.8%,41.2%,31.4%,68.6%
,,,,,,,,,,,,,,,,,,
Kern,"60,861","111,883","109,157","56,455","46,079","124,739","116,912","50,114","89,990","78,762","52,856","113,161","71,711","96,376","106,994","59,088","60,867","102,546"
  Percent,35.2%,64.8%,66.0%,34.0%,26.9%,73.1%,70.0%,30.0%,53.4%,46.6%,31.8%,68.2%,42.6%,57.4%,64.5%,35.5%,37.2%,62.8%
,,,,,,,,,,,,,,,,,,
Kings,"8,747","17,669","15,822","9,589","7,137","18,938","17,132","8,605","13,384","12,500","8,373","17,056","11,474","14,225","16,121","9,222","10,079","15,091"
  Percent,33.1%,66.9%,62.3%,37.7%,27.3%,72.7%,66.6%,33.4%,51.8%,48.2%,32.9%,67.1%,44.6%,55.4%,63.7%,36.3%,40.0%,60.0%
,,,,,,,,,,,,,,,,,,
Lake,"10,351","10,412","11,933","7,908","8,890","12,014","13,718","6,692","8,191","12,380","8,401","11,770","11,272","8,816","11,227","8,568","7,856","11,661"
  Percent,49.8%,50.2%,60.2%,39.8%,42.5%,57.5%,67.3%,32.7%,39.8%,60.2%,41.6%,58.4%,56.2%,43.8%,56.8%,43.2%,40.2%,59.8%
,,,,,,,,,,,,,,,,,,
Lassen,"3,979","5,347","5,687","3,161","2,147","7,061","6,199","2,775","5,668","3,376","2,917","5,946","3,974","5,064","5,648","3,264","3,277","5,465"
  Percent,42.6%,57.4%,64.3%,35.7%,23.3%,76.7%,69.1%,30.9%,62.7%,37.3%,32.9%,67.1%,43.9%,56.1%,63.4%,36.6%,37.4%,62.6%
,,,,,,,,,,,,,,,,,,
Los Angeles,"1,080,331","1,168,588","1,206,753","906,168","954,678","1,238,190","1,239,072","897,061","717,005","1,482,707","974,686","1,167,011","1,252,870","898,263","1,038,691","1,093,352","928,181","1,167,249"
  Percent,48.0%,52.0%,57.2%,42.8%,43.5%,56.5%,58.1%,41.9%,32.5%,67.5%,45.5%,54.5%,58.3%,41.7%,48.7%,51.3%,44.2%,55.8%
,,,,,,,,,,,,,,,,,,
Madera,"12,329","21,395","21,640","10,688","8,778","24,803","22,323","10,651","17,721","15,471","10,604","22,250","13,886","19,360","21,142","11,726","11,437","20,849"
  Percent,36.5%,63.5%,67.0%,33.0%,26.1%,73.9%,67.7%,32.3%,53.4%,46.6%,32.2%,67.8%,41.7%,58.3%,64.4%,35.6%,35.4%,64.6%
,,,,,,,,,,,,,,,,,,
Marin,"69,792","42,207","65,606","38,000","69,444","40,816","48,404","54,322","23,748","85,119","51,367","51,155","72,611","33,546","35,203","68,371","35,089","66,117"
  Percent,62.4%,37.6%,63.4%,36.6%,63.0%,37.0%,47.1%,52.9%,21.8%,78.2%,50.2%,49.8%,68.4%,31.6%,33.9%,66.1%,34.6%,65.4%
,,,,,,,,,,,,,,,,,,
Mariposa,"3,764","4,433","5,148","2,690","2,575","5,580","5,128","2,744","3,957","4,076","2,778","5,030","3,535","4,469","4,703","3,125","2,411","5,310"
  Percent,45.9%,54.1%,65.7%,34.3%,31.5%,68.5%,65.2%,34.8%,49.2%,50.8%,35.5%,64.5%,44.1%,55.9%,60.1%,39.9%,31.2%,68.8%
,,,,,,,,,,,,,,,,,,
Mendocino,"14,889","16,963","15,747","13,783","15,982","15,378","16,994","12,883","8,936","21,909","14,458","15,114","19,312","11,013","12,350","17,296","11,517","17,433"
  Percent,46.7%,53.3%,53.4%,46.6%,51.0%,49.0%,56.9%,43.1%,28.9%,71.1%,48.8%,51.2%,63.7%,36.3%,41.6%,58.4%,39.7%,60.3%
,,,,,,,,,,,,,,,,,,
Merced,"18,178","29,397","27,441","17,883","14,708","32,252","30,662","15,398","21,773","24,340","17,119","28,120","23,084","22,753","26,480","18,630","18,534","26,051"
  Percent,38.2%,61.8%,60.6%,39.4%,31.3%,68.7%,66.6%,33.4%,47.2%,52.8%,37.8%,62.2%,50.4%,49.6%,58.8%,41.2%,41.5%,58.5%
,,,,,,,,,,,,,,,,,,
Modoc,"1,595","2,199","2,562","1,086",661,"3,108","2,667","1,020","2,284","1,445",987,"2,675","1,372","2,324","2,474","1,188","1,024","2,602"
  Percent,42.0%,58.0%,70.3%,29.7%,17.5%,82.5%,72.4%,27.6%,61.3%,38.7%,26.9%,73.1%,37.1%,62.9%,67.6%,32.4%,28.2%,71.8%
,,,,,,,,,,,,,,,,,,
Mono,"2,512","1,907","2,684","1,351","1,836","2,487","2,766","1,365","1,774","2,460","1,589","2,454","2,102","2,005","2,226","1,827","1,342","2,649"
  Percent,56.9%,43.1%,66.6%,33.4%,42.4%,57.6%,67.0%,33.0%,41.8%,58.2%,39.3%,60.7%,51.2%,48.8%,55.0%,45.0%,33.6%,66.4%
,,,,,,,,,,,,,,,,,,
Monterey,"50,983","48,066","52,538","42,337","52,363","46,020","59,446","36,165","32,302","64,829","46,326","48,941","59,919","36,582","43,488","50,206","43,895","48,894"
  Percent,51.5%,48.5%,55.4%,44.6%,53.3%,46.7%,62.2%,37.8%,33.2%,66.8%,48.6%,51.4%,62.1%,37.9%,46.4%,53.6%,47.3%,52.7%
,,,,,,,,,,,,,,,,,,
Napa,"23,210","23,197","27,451","16,161","21,312","24,434","25,813","18,021","15,815","29,268","18,479","25,157","26,728","17,883","22,127","21,241","16,072","26,513"
  Percent,50.1%,49.9%,63.0%,37.0%,46.5%,53.5%,58.9%,41.1%,35.0%,65.0%,42.3%,57.7%,60.0%,40.0%,51.1%,48.9%,37.7%,62.3%
,,,,,,,,,,,,,,,,,,
Nevada,"20,368","25,448","29,684","13,804","21,021","23,996","26,606","16,644","20,134","24,781","16,846","26,071","22,616","21,649","23,496","19,867","13,309","29,530"
  Percent,44.4%,55.6%,68.3%,31.7%,46.6%,53.4%,61.6%,38.4%,44.8%,55.2%,39.2%,60.8%,51.1%,48.9%,54.2%,45.8%,31.0%,69.0%
,,,,,,,,,,,,,,,,,,
Orange,"368,952","503,152","566,602","252,724","299,365","559,988","503,465","327,485","427,287","419,445","266,868","557,049","363,467","471,507","525,745","297,465","292,384","514,203"
  Percent,42.3%,57.7%,69.2%,30.8%,34.8%,65.2%,60.6%,39.4%,50.5%,49.5%,32.3%,67.7%,43.5%,56.5%,63.9%,36.1%,36.2%,63.8%
,,,,,,,,,,,,,,,,,,
Placer,"52,902","89,670","90,754","42,983","57,138","83,197","84,782","49,628","65,758","71,800","44,450","88,796","63,811","73,142","78,763","54,407","42,641","88,867"
  Percent,37.1%,62.9%,67.9%,32.1%,40.7%,59.3%,63.1%,36.9%,47.8%,52.2%,33.3%,66.7%,46.5%,53.5%,59.2%,40.8%,32.4%,67.6%
,,,,,,,,,,,,,,,,,,
Plumas,"4,211","5,056","6,058","2,727","2,895","6,250","5,860","3,014","4,858","4,202","3,020","5,777","4,575","4,422","5,381","3,431","2,940","5,778"
  Percent,45.4%,54.6%,69.0%,31.0%,31.6%,68.4%,66.1%,33.9%,53.7%,46.3%,34.3%,65.7%,50.9%,49.1%,61.1%,38.9%,33.7%,66.3%
,,,,,,,,,,,,,,,,,,
Riverside,"204,177","278,550","299,364","162,119","159,600","317,234","314,862","151,870","230,283","240,366","169,501","292,665","223,867","243,638","291,632","172,420","186,009","264,397"
  Percent,42.2%,57.8%,64.9%,35.1%,33.4%,66.6%,67.5%,32.5%,48.9%,51.1%,36.6%,63.4%,47.8%,52.2%,62.9%,37.1%,41.2%,58.8%
,,,,,,,,,,,,,,,,,,
Sacramento,"174,466","245,575","233,561","164,195","192,446","221,260","232,155","167,185","154,255","253,735","164,188","233,661","229,431","179,082","205,593","192,251","147,267","241,648"
  Percent,41.5%,58.5%,58.8%,41.2%,46.5%,53.5%,58.2%,41.8%,37.8%,62.2%,41.2%,58.8%,56.2%,43.8%,51.7%,48.3%,37.8%,62.2%
,,,,,,,,,,,,,,,,,,
San Benito,"7,669","8,320","8,963","6,196","7,143","8,669","10,224","5,174","6,426","9,107","6,233","8,934","8,635","6,680","8,014","6,982","6,684","8,089"
  Percent,47.9%,52.1%,59.2%,40.8%,45.1%,54.9%,66.4%,33.6%,41.3%,58.7%,41.0%,59.0%,56.4%,43.6%,53.5%,46.5%,45.2%,54.8%
,,,,,,,,,,,,,,,,,,
San Bernardino,"181,173","253,778","259,672","155,948","139,849","291,093","275,829","142,466","203,466","219,569","152,840","261,872","200,052","218,578","254,896","159,981","168,750","240,581"
  Percent,41.6%,58.4%,62.5%,37.5%,32.4%,67.6%,66.0%,34.0%,48.0%,52.0%,36.8%,63.2%,47.7%,52.3%,61.5%,38.5%,41.2%,58.8%
,,,,,,,,,,,,,,,,,,
San Diego,"426,807","478,552","553,153","286,366","346,259","539,977","554,202","290,991","383,393","490,431","322,200","519,490","415,749","441,744","490,268","349,421","313,866","504,731"
  Percent,47.1%,52.9%,65.9%,34.1%,39.0%,61.0%,65.6%,34.4%,43.8%,56.2%,38.2%,61.8%,48.4%,51.6%,58.4%,41.6%,38.3%,61.7%
,,,,,,,,,,,,,,,,,,
San Francisco,"175,676","100,448","119,630","135,014","168,609","102,047","111,087","143,256","47,499","220,242","151,478","103,380","196,259","62,973","76,247","176,742","123,587","122,500"
  Percent,63.7%,36.3%,46.9%,53.1%,62.3%,37.7%,43.6%,56.4%,17.7%,82.3%,59.5%,40.5%,75.8%,24.2%,30.1%,69.9%,50.3%,49.7%
,,,,,,,,,,,,,,,,,,
San Joaquin,"62,060","95,611","89,024","59,658","56,482","98,669","97,171","53,522","67,755","84,933","59,334","89,853","84,908","67,814","83,780","65,572","66,067","80,534"
  Percent,39.3%,60.7%,59.9%,40.1%,36.4%,63.6%,64.5%,35.5%,44.3%,55.7%,39.7%,60.3%,55.6%,44.4%,56.1%,43.9%,45.0%,55.0%
,,,,,,,,,,,,,,,,,,
San Luis Obispo,"54,247","51,158","63,717","32,776","45,868","57,328","63,274","34,457","43,556","58,159","39,395","57,521","52,531","46,362","50,786","45,735","33,371","60,311"
  Percent,51.5%,48.5%,66.1%,33.9%,44.4%,55.6%,64.8%,35.2%,42.8%,57.2%,40.6%,59.4%,53.2%,46.8%,52.7%,47.3%,35.6%,64.4%
,,,,,,,,,,,,,,,,,,
San Mateo,"112,637","105,813","120,033","83,821","114,657","100,788","110,328","93,968","56,777","155,862","99,418","104,463","137,117","72,158","84,191","120,457","85,032","114,220"
  Percent,51.6%,48.4%,58.9%,41.1%,53.3%,46.7%,54.1%,45.9%,26.7%,73.3%,48.7%,51.3%,65.6%,34.4%,41.1%,58.9%,42.6%,57.4%
,,,,,,,,,,,,,,,,,,
Santa Barbara,"68,108","63,088","77,844","43,267","61,970","66,491","80,837","41,363","48,993","78,364","53,482","67,511","65,975","57,150","59,501","61,442","44,284","75,140"
  Percent,52.0%,48.0%,64.3%,35.7%,48.2%,51.8%,66.2%,33.8%,38.4%,61.6%,44.2%,55.8%,53.6%,46.4%,49.1%,50.9%,37.0%,63.0%
,,,,,,,,,,,,,,,,,,
Santa Clara,"245,568","263,093","302,266","176,758","262,622","239,467","299,659","181,922","148,173","347,953","211,029","269,389","299,760","178,677","220,706","247,377","182,325","272,254"
  Percent,48.2%,51.8%,63.2%,36.8%,52.4%,47.6%,62.3%,37.7%,29.8%,70.2%,43.9%,56.1%,62.7%,37.3%,47.1%,52.9%,40.1%,59.9%
,,,,,,,,,,,,,,,,,,
Santa Cruz,"61,330","34,405","51,984","36,865","64,765","29,992","48,960","39,037","21,547","71,863","48,240","40,089","62,852","27,764","31,857","56,985","34,976","51,934"
  Percent,64.1%,35.9%,58.6%,41.4%,68.4%,31.6%,55.7%,44.3%,23.0%,77.0%,54.7%,45.3%,69.4%,30.6%,35.8%,64.2%,40.2%,59.8%
,,,,,,,,,,,,,,,,,,
Shasta,"25,126","39,647","39,049","22,391","18,473","45,864","41,136","21,276","33,618","29,844","19,510","42,145","25,139","37,583","38,287","23,546","20,066","40,786"
  Percent,38.7%,61.3%,63.6%,36.4%,28.7%,71.3%,66.0%,34.0%,53.0%,47.0%,31.6%,68.4%,40.0%,60.0%,62.0%,38.0%,32.9%,67.1%
,,,,,,,,,,,,,,,,,,
Sierra,831,"1,005","1,053",652,496,"1,303","1,077",670,955,825,592,"1,143",861,907,"1,015",713,604,"1,087"
  Percent,45.2%,54.8%,61.8%,38.2%,27.5%,72.5%,61.7%,38.3%,53.7%,46.3%,34.1%,65.9%,48.6%,51.4%,58.8%,41.2%,35.7%,64.3%
,,,,,,,,,,,,,,,,,,
Siskiyou,"8,491","9,875","10,957","6,078","5,094","13,009","11,007","6,284","9,242","8,363","6,419","10,737","8,262","9,206","9,638","7,487","6,067","10,766"
  Percent,46.2%,53.8%,64.4%,35.6%,28.1%,71.9%,63.7%,36.3%,52.5%,47.5%,37.4%,62.6%,47.2%,52.8%,56.3%,43.7%,36.0%,64.0%
,,,,,,,,,,,,,,,,,,
Solano,"54,039","63,948","67,821","43,783","50,087","66,314","71,969","40,812","44,936","69,422","49,605","62,829","67,876","46,659","59,912","52,194","46,992","63,532"
  Percent,45.8%,54.2%,60.8%,39.2%,43.0%,57.0%,63.9%,36.1%,39.2%,60.8%,44.1%,55.9%,59.3%,40.7%,53.5%,46.5%,42.5%,57.5%
,,,,,,,,,,,,,,,,,,
Sonoma,"99,960","80,978","101,570","67,740","103,657","77,516","96,447","76,335","48,106","130,211","80,616","90,899","116,822","57,105","70,522","99,293","65,951","100,102"
  Percent,55.3%,44.7%,60.0%,40.0%,57.3%,42.7%,55.9%,44.1%,26.9%,73.1%,47.0%,53.0%,67.2%,32.8%,41.5%,58.5%,39.7%,60.3%
,,,,,,,,,,,,,,,,,,
Stanislaus,"44,629","75,465","71,768","41,162","39,432","78,872","77,134","37,888","56,960","59,215","41,390","72,605","59,529","56,476","67,959","46,079","43,195","68,738"
  Percent,37.1%,62.9%,63.6%,36.4%,33.3%,66.7%,67.1%,32.9%,49.0%,51.0%,36.3%,63.7%,51.4%,48.6%,59.6%,40.4%,38.5%,61.5%
,,,,,,,,,,,,,,,,,,
Sutter,"8,795","16,362","15,214","8,598","7,477","17,342","16,056","7,996","13,486","11,118","7,789","16,152","10,427","14,095","15,580","8,374","9,036","14,526"
  Percent,34.9%,65.1%,63.9%,36.1%,30.1%,69.9%,66.8%,33.2%,54.9%,45.1%,32.5%,67.5%,42.5%,57.5%,65.1%,34.9%,38.3%,61.7%
,,,,,,,,,,,,,,,,,,
Tehama,"7,374","12,826","12,264","6,900","4,661","15,278","12,766","6,745","10,935","8,851","6,244","13,068","7,969","11,627","11,956","7,323","6,378","12,719"
  Percent,36.5%,63.5%,64.0%,36.0%,23.3%,76.7%,65.5%,34.5%,55.3%,44.7%,32.3%,67.7%,40.6%,59.4%,62.1%,37.9%,33.3%,66.7%
,,,,,,,,,,,,,,,,,,
Trinity,"2,254","3,327","3,250","1,983","1,641","3,852","3,537","1,756","2,319","3,099","1,989","3,187","2,634","2,674","2,795","2,428","1,744","3,403"
  Percent,40.3%,59.7%,62.2%,37.8%,29.8%,70.2%,66.9%,33.1%,42.8%,57.2%,38.4%,61.6%,49.6%,50.4%,53.6%,46.4%,33.8%,66.2%
,,,,,,,,,,,,,,,,,,
Tulare,"27,390","53,816","51,893","25,193","19,440","60,475","52,042","25,903","42,162","36,589","24,689","52,845","33,717","44,876","50,320","27,357","27,120","49,148"
  Percent,33.7%,66.3%,67.4%,32.6%,24.3%,75.7%,66.8%,33.2%,53.6%,46.4%,31.8%,68.2%,42.9%,57.1%,64.8%,35.2%,35.5%,64.5%
,,,,,,,,,,,,,,,,,,
Tuolumne,"9,806","12,602","14,553","6,623","7,729","14,357","14,401","6,899","10,869","10,861","7,320","13,860","11,297","10,460","12,166","9,015","6,985","14,015"
  Percent,43.7%,56.3%,68.8%,31.2%,34.9%,65.1%,67.7%,32.3%,50.1%,49.9%,34.5%,65.5%,52.0%,48.0%,57.5%,42.5%,33.2%,66.8%
,,,,,,,,,,,,,,,,,,
Ventura,"117,271","142,844","157,102","90,089","105,641","150,562","156,789","91,569","103,235","150,225","96,869","150,396","125,733","125,435","132,838","109,714","90,283","148,605"
  Percent,45.0%,55.0%,63.6%,36.4%,41.2%,58.8%,63.2%,36.8%,40.7%,59.3%,39.1%,60.9%,50.1%,49.9%,54.8%,45.2%,37.7%,62.3%
,,,,,,,,,,,,,,,,,,
Yolo,"29,247","30,304","33,227","22,884","31,706","27,066","29,363","26,869","18,484","39,895","27,038","28,726","36,041","21,626","23,384","32,939","19,902","35,210"
  Percent,49.1%,50.9%,59.3%,40.7%,54.0%,46.0%,52.3%,47.7%,31.6%,68.4%,48.4%,51.6%,62.5%,37.5%,41.5%,58.5%,36.1%,63.9%
,,,,,,,,,,,,,,,,,,
Yuba,"6,454","9,852","10,401","5,265","4,612","11,572","10,982","4,861","8,826","7,200","5,688","10,052","7,489","8,370","9,959","5,601","5,573","9,821"
  Percent,39.5%,60.5%,66.4%,33.6%,28.4%,71.6%,69.4%,30.6%,55.1%,44.9%,36.1%,63.9%,47.2%,52.8%,64.1%,35.9%,36.2%,63.8%
,,,,,,,,,,,,,,,,,,
State Totals,"4,643,592","5,333,230","5,743,069","3,636,892","4,190,643","5,615,595","5,733,755","3,725,014","3,733,883","5,974,564","3,947,502","5,470,477","5,262,052","4,292,648","4,923,834","4,470,234","3,736,443","5,468,703"
  Percent,46.5%,53.5%,61.3%,38.7%,42.7%,57.3%,60.7%,39.3%,38.4%,61.6%,41.9%,58.1%,55.1%,44.9%,52.5%,47.5%,40.5%,59.5%
,,,,,,,,,,,,,,,,,,
