Category,2010_19_Yes,2010_19_No,2010_20_Yes,2010_20_No,2010_21_Yes,2010_21_No,2010_22_Yes,2010_22_No,2010_23_Yes,2010_23_No,2010_24_Yes,2010_24_No,2010_25_Yes,2010_25_No,2010_26_Yes,2010_26_No,2010_27_Yes,2010_27_No,2010_13_Yes,2010_13_No,2010_14_Yes,2010_14_No,2010_15_Yes,2010_15_No, 2010_16_Yes,2010_16_No, 2010_17_Yes,2010_17_No
Glenn_Percent,34.40%,65.60%,66.80%,33.20%,20.70%,79.30%,69.40%,30.60%,57.50%,42.50%,29.10%,70.90%,38.70%,61.30%,61.80%,38.20%,32.10%,67.90%,78.9%,21.1%,60.7%,39.3%,29.5%,70.5%,54.0%,46.0%,53.2%,46.8%
Humboldt_Total,"23,626","27,220","23,680","22,310","24,086","25,549","27,542","19,236","16,413","32,161","21,566","24,633","27,962","19,524","19,892","26,489","17,118","27,792","27,437","5,833","18,467","15,043","14,589","17,771","11,672","21,311","13,214","20,224"
Humboldt_Percent,46.40%,53.60%,51.50%,48.50%,48.50%,51.50%,58.90%,41.10%,33.70%,66.30%,46.60%,53.40%,58.90%,41.10%,42.80%,57.20%,38.10%,61.90%,82.5%,17.5%,55.2%,44.8%,45.0%,55.0%,35.3%,64.7%,39.5%,60.5%
Imperial_Total,"8,692","18,175","13,730","11,718","8,201","18,139","16,223","9,652","12,361","13,545","11,237","14,289","13,522","12,332","14,172","11,491","12,346","12,990","11,977","2,730","8,688","6,124","6,056","8,526","8,237","6,398","7,785","7,011"
Imperial_Percent,32.30%,67.70%,54.00%,46.00%,31.10%,68.90%,62.70%,37.30%,47.70%,52.30%,44.00%,56.00%,52.40%,47.60%,55.30%,44.70%,48.70%,51.30%,81.5%,18.5%,58.7%,41.3%,41.5%,58.5%,56.3%,43.7%,52.7%,47.3%
Inyo_Total,"3,168","3,807","4,281","2,279","2,167","4,719","4,271","2,346","3,164","3,602","2,470","4,099","3,224","3,492","3,855","2,707","2,029","4,430","4,077",899,"2,716","2,270","1,913","2,957","2,543","2,425","2,480","2,518"
Inyo_Percent,45.40%,54.60%,65.30%,34.70%,31.40%,68.60%,64.60%,35.40%,46.70%,53.30%,37.60%,62.40%,48.00%,52.00%,58.80%,41.20%,31.40%,68.60%,82.0%,18.0%,54.5%,45.5%,39.2%,60.8%,51.2%,48.8%,49.6%,50.4%
Kern_Total,"60,861","111,883","109,157","56,455","46,079","124,739","116,912","50,114","89,990","78,762","52,856","113,161","71,711","96,376","106,994","59,088","60,867","102,546","79,762","17,317","51,604","46,658","30,697","65,950","46,886","51,729","53,646","45,022"
Kern_Percent,35.20%,64.80%,66.00%,34.00%,26.90%,73.10%,70.00%,30.00%,53.40%,46.60%,31.80%,68.20%,42.60%,57.40%,64.50%,35.50%,37.20%,62.80%,82.2%,17.8%,52.6%,47.4%,31.7%,68.3%,47.5%,52.5%,54.4%,45.6%
Kings_Total,"8,747","17,669","15,822","9,589","7,137","18,938","17,132","8,605","13,384","12,500","8,373","17,056","11,474","14,225","16,121","9,222","10,079","15,091","13,563","3,302","9,302","7,792","5,825","10,969","8,533","8,616","9,195","8,008"
Kings_Percent,33.10%,66.90%,62.30%,37.70%,27.30%,72.70%,66.60%,33.40%,51.80%,48.20%,32.90%,67.10%,44.60%,55.40%,63.70%,36.30%,40.00%,60.00%,80.5%,19.5%,54.5%,45.5%,34.6%,65.4%,49.7%,50.3%,53.5%,46.5%
Lake_Total,"10,351","10,412","11,933","7,908","8,890","12,014","13,718","6,692","8,191","12,380","8,401","11,770","11,272","8,816","11,227","8,568","7,856","11,661","12,077","2,609","8,332","6,433","6,069","8,418","6,561","8,289","6,663","7,945"
Lake_Percent,49.80%,50.20%,60.20%,39.80%,42.50%,57.50%,67.30%,32.70%,39.80%,60.20%,41.60%,58.40%,56.20%,43.80%,56.80%,43.20%,40.20%,59.80%,82.3%,17.7%,56.5%,43.5%,41.8%,58.2%,44.1%,55.9%,45.6%,54.4%
Lassen_Total,"3,979","5,347","5,687","3,161","2,147","7,061","6,199","2,775","5,668","3,376","2,917","5,946","3,974","5,064","5,648","3,264","3,277","5,465","5,402","1,278","4,231","2,521","2,021","4,610","3,739","2,933","3,527","3,211"
Lassen_Percent,42.60%,57.40%,64.30%,35.70%,23.30%,76.70%,69.10%,30.90%,62.70%,37.30%,32.90%,67.10%,43.90%,56.10%,63.40%,36.60%,37.40%,62.60%,80.9%,19.1%,62.7%,37.3%,30.4%,69.6%,56.1%,43.9%,52.4%,47.6%
Los Angeles_Total,"1,080,331","1,168,588","1,206,753","906,168","954,678","1,238,190","1,239,072","897,061","717,005","1,482,707","974,686","1,167,011","1,252,870","898,263","1,038,691","1,093,352","928,181","1,167,249","778,107","148,276","479,615","457,526","424,411","490,987","443,797","503,546","416,160","538,938"
Los Angeles_Percent,48.00%,52.00%,57.20%,42.80%,43.50%,56.50%,58.10%,41.90%,32.50%,67.50%,45.50%,54.50%,58.30%,41.70%,48.70%,51.30%,44.20%,55.80%,84.0%,16.0%,51.2%,48.8%,46.3%,53.7%,46.8%,53.2%,43.5%,56.5%
Madera_Total,"12,329","21,395","21,640","10,688","8,778","24,803","22,323","10,651","17,721","15,471","10,604","22,250","13,886","19,360","21,142","11,726","11,437","20,849","18,261","4,470","12,706","10,720","8,307","14,590","10,954","12,665","12,591","10,889"
Madera_Percent,36.50%,63.50%,67.00%,33.00%,26.10%,73.90%,67.70%,32.30%,53.40%,46.60%,32.20%,67.80%,41.70%,58.30%,64.40%,35.60%,35.40%,64.60%,80.4%,19.6%,54.3%,45.7%,36.2%,63.8%,46.3%,53.7%,53.7%,46.3%
Marin_Total,"69,792","42,207","65,606","38,000","69,444","40,816","48,404","54,322","23,748","85,119","51,367","51,155","72,611","33,546","35,203","68,371","35,089","66,117","63,804","7,664","37,751","34,832","40,738","28,438","27,224","46,008","26,701","45,186"
Marin_Percent,62.40%,37.60%,63.40%,36.60%,63.00%,37.00%,47.10%,52.90%,21.80%,78.20%,50.20%,49.80%,68.40%,31.60%,33.90%,66.10%,34.60%,65.40%,89.3%,10.7%,52.1%,47.9%,58.9%,41.1%,37.1%,62.9%,37.1%,62.9%
Mariposa_Total,"3,764","4,433","5,148","2,690","2,575","5,580","5,128","2,744","3,957","4,076","2,778","5,030","3,535","4,469","4,703","3,125","2,411","5,310","5,069","1,072","3,243","3,023","2,179","3,901","2,944","3,316","2,981","3,281"
Mariposa_Percent,45.90%,54.10%,65.70%,34.30%,31.50%,68.50%,65.20%,34.80%,49.20%,50.80%,35.50%,64.50%,44.10%,55.90%,60.10%,39.90%,31.20%,68.80%,82.6%,17.4%,51.8%,48.2%,35.8%,64.2%,47.0%,53.0%,47.6%,52.4%
Mendocino_Total,"14,889","16,963","15,747","13,783","15,982","15,378","16,994","12,883","8,936","21,909","14,458","15,114","19,312","11,013","12,350","17,296","11,517","17,433","18,073","3,457","12,997","8,820","10,806","10,201","7,612","14,247","7,822","13,987"
Mendocino_Percent,46.70%,53.30%,53.40%,46.60%,51.00%,49.00%,56.90%,43.10%,28.90%,71.10%,48.80%,51.20%,63.70%,36.30%,41.60%,58.40%,39.70%,60.30%,84.0%,16.0%,59.6%,40.4%,51.5%,48.5%,34.8%,65.2%,35.8%,64.2%
Merced_Total,"18,178","29,397","27,441","17,883","14,708","32,252","30,662","15,398","21,773","24,340","17,119","28,120","23,084","22,753","26,480","18,630","18,534","26,051","19,126","4,704","13,514","10,665","8,302","15,447","10,584","14,097","12,998","11,536"
Merced_Percent,38.20%,61.80%,60.60%,39.40%,31.30%,68.70%,66.60%,33.40%,47.20%,52.80%,37.80%,62.20%,50.40%,49.60%,58.80%,41.20%,41.50%,58.50%,80.3%,19.7%,55.9%,44.1%,34.9%,65.1%,42.8%,57.2%,53.0%,47.0%
Modoc_Total,"1,595","2,199","2,562","1,086",661,"3,108","2,667","1,020","2,284","1,445",987,"2,675","1,372","2,324","2,474","1,188","1,024","2,602","2,559",627,"1,918","1,294",881,"2,245","1,793","1,404","1,622","1,553"
Modoc_Percent,42.00%,58.00%,70.30%,29.70%,17.50%,82.50%,72.40%,27.60%,61.30%,38.70%,26.90%,73.10%,37.10%,62.90%,67.60%,32.40%,28.20%,71.80%,80.4%,19.6%,59.8%,40.2%,28.1%,71.9%,56.1%,43.9%,51.1%,48.9%
Mono_Total,"2,512","1,907","2,684","1,351","1,836","2,487","2,766","1,365","1,774","2,460","1,589","2,454","2,102","2,005","2,226","1,827","1,342","2,649","2,835",469,"1,939","1,373","1,292","1,902","1,619","1,597","1,683","1,624"
Mono_Percent,56.90%,43.10%,66.60%,33.40%,42.40%,57.60%,67.00%,33.00%,41.80%,58.20%,39.30%,60.70%,51.20%,48.80%,55.00%,45.00%,33.60%,66.40%,85.9%,14.1%,58.6%,41.4%,40.4%,59.6%,50.4%,49.6%,50.9%,49.1%
Monterey_Total,"50,983","48,066","52,538","42,337","52,363","46,020","59,446","36,165","32,302","64,829","46,326","48,941","59,919","36,582","43,488","50,206","43,895","48,894","49,967","8,543","34,580","24,444","28,024","29,848","25,071","33,167","25,277","33,564"
Monterey_Percent,51.50%,48.50%,55.40%,44.60%,53.30%,46.70%,62.20%,37.80%,33.20%,66.80%,48.60%,51.40%,62.10%,37.90%,46.40%,53.60%,47.30%,52.70%,85.4%,14.6%,58.6%,41.4%,48.4%,51.6%,43.0%,57.0%,42.9%,57.1%
Napa_Total,"23,210","23,197","27,451","16,161","21,312","24,434","25,813","18,021","15,815","29,268","18,479","25,157","26,728","17,883","22,127","21,241","16,072","26,513","24,692","4,439","16,178","13,293","11,652","16,943","12,382","17,234","12,433","17,164"
Napa_Percent,50.10%,49.90%,63.00%,37.00%,46.50%,53.50%,58.90%,41.10%,35.00%,65.00%,42.30%,57.70%,60.00%,40.00%,51.10%,48.90%,37.70%,62.30%,84.8%,15.2%,54.9%,45.1%,40.7%,59.3%,41.8%,58.2%,42.0%,58.0%
Nevada_Total,"20,368","25,448","29,684","13,804","21,021","23,996","26,606","16,644","20,134","24,781","16,846","26,071","22,616","21,649","23,496","19,867","13,309","29,530","25,714","3,996","16,390","13,751","11,345","17,929","13,936","16,125","15,007","15,152"
Nevada_Percent,44.40%,55.60%,68.30%,31.70%,46.60%,53.40%,61.60%,38.40%,44.80%,55.20%,39.20%,60.80%,51.10%,48.90%,54.20%,45.80%,31.00%,69.00%,86.6%,13.4%,54.4%,45.6%,38.7%,61.3%,46.3%,53.7%,49.7%,50.3%
Orange_Total,"368,952","503,152","566,602","252,724","299,365","559,988","503,465","327,485","427,287","419,445","266,868","557,049","363,467","471,507","525,745","297,465","292,384","514,203","394,821","58,136","221,773","237,589","155,258","292,348","270,366","188,149","273,734","188,784"
Orange_Percent,42.30%,57.70%,69.20%,30.80%,34.80%,65.20%,60.60%,39.40%,50.50%,49.50%,32.30%,67.70%,43.50%,56.50%,63.90%,36.10%,36.20%,63.80%,87.2%,12.8%,48.2%,51.8%,34.6%,65.4%,59.0%,41.0%,59.2%,40.8%
Placer_Total,"52,902","89,670","90,754","42,983","57,138","83,197","84,782","49,628","65,758","71,800","44,450","88,796","63,811","73,142","78,763","54,407","42,641","88,867","73,412","12,937","48,892","39,278","26,057","59,755","40,285","47,917","46,008","42,156"
Placer_Percent,37.10%,62.90%,67.90%,32.10%,40.70%,59.30%,63.10%,36.90%,47.80%,52.20%,33.30%,66.70%,46.50%,53.50%,59.20%,40.80%,32.40%,67.60%,85.1%,14.9%,55.5%,44.5%,30.3%,69.7%,45.6%,54.4%,52.2%,47.8%
Plumas_Total,"4,211","5,056","6,058","2,727","2,895","6,250","5,860","3,014","4,858","4,202","3,020","5,777","4,575","4,422","5,381","3,431","2,940","5,778","5,502","1,080","3,969","2,740","2,379","4,147","3,668","3,015","3,359","3,338"
Plumas_Percent,45.40%,54.60%,69.00%,31.00%,31.60%,68.40%,66.10%,33.90%,53.70%,46.30%,34.30%,65.70%,50.90%,49.10%,61.10%,38.90%,33.70%,66.30%,83.6%,16.4%,59.2%,40.8%,36.4%,63.6%,54.9%,45.1%,50.2%,49.8%
Riverside_Total,"204,177","278,550","299,364","162,119","159,600","317,234","314,862","151,870","230,283","240,366","169,501","292,665","223,867","243,638","291,632","172,420","186,009","264,397","210,376","32,390","140,994","103,957","93,560","146,150","146,983","97,076","144,703","101,645"
Riverside_Percent,42.20%,57.80%,64.90%,35.10%,33.40%,66.60%,67.50%,32.50%,48.90%,51.10%,36.60%,63.40%,47.80%,52.20%,62.90%,37.10%,41.20%,58.80%,86.7%,13.3%,57.6%,42.4%,39.0%,61.0%,60.3%,39.7%,58.8%,41.2%
Sacramento_Total,"174,466","245,575","233,561","164,195","192,446","221,260","232,155","167,185","154,255","253,735","164,188","233,661","229,431","179,082","205,593","192,251","147,267","241,648","186,944","43,280","131,277","103,462","80,963","147,036","98,979","136,124","105,360","129,591"
Sacramento_Percent,41.50%,58.50%,58.80%,41.20%,46.50%,53.50%,58.20%,41.80%,37.80%,62.20%,41.20%,58.80%,56.20%,43.80%,51.70%,48.30%,37.80%,62.20%,81.3%,18.7%,56.0%,44.0%,35.5%,64.5%,42.1%,57.9%,44.8%,55.2%
San Benito_Total,"7,669","8,320","8,963","6,196","7,143","8,669","10,224","5,174","6,426","9,107","6,233","8,934","8,635","6,680","8,014","6,982","6,684","8,089","8,677","1,688","6,372","4,150","4,259","5,936","4,971","5,449","4,983","5,507"
San Benito_Percent,47.90%,52.10%,59.20%,40.80%,45.10%,54.90%,66.40%,33.60%,41.30%,58.70%,41.00%,59.00%,56.40%,43.60%,53.50%,46.50%,45.20%,54.80%,83.8%,16.2%,60.6%,39.4%,41.7%,58.3%,47.7%,52.3%,47.5%,52.5%
San Bernardino_Total,"181,173","253,778","259,672","155,948","139,849","291,093","275,829","142,466","203,466","219,569","152,840","261,872","200,052","218,578","254,896","159,981","168,750","240,581","173,750","29,780","114,785","90,835","76,335","125,812","124,261","82,174","110,512","96,425"
San Bernardino_Percent,41.60%,58.40%,62.50%,37.50%,32.40%,67.60%,66.00%,34.00%,48.00%,52.00%,36.80%,63.20%,47.70%,52.30%,61.50%,38.50%,41.20%,58.80%,85.4%,14.6%,55.9%,44.1%,37.7%,62.3%,60.2%,39.8%,53.5%,46.5%
San Diego_Total,"426,807","478,552","553,153","286,366","346,259","539,977","554,202","290,991","383,393","490,431","322,200","519,490","415,749","441,744","490,268","349,421","313,866","504,731","447,631","56,423","278,245","232,736","199,925","294,035","283,552","221,298","299,582","208,251"
San Diego_Percent,47.10%,52.90%,65.90%,34.10%,39.00%,61.00%,65.60%,34.40%,43.80%,56.20%,38.20%,61.80%,48.40%,51.60%,58.40%,41.60%,38.30%,61.70%,88.9%,11.1%,54.5%,45.5%,40.4%,59.6%,56.2%,43.8%,59.0%,41.0%
San Francisco_Total,"175,676","100,448","119,630","135,014","168,609","102,047","111,087","143,256","47,499","220,242","151,478","103,380","196,259","62,973","76,247","176,742","123,587","122,500","126,290","20,012","66,529","81,599","92,242","51,751","48,139","101,117","45,413","101,424"
San Francisco_Percent,63.70%,36.30%,46.90%,53.10%,62.30%,37.70%,43.60%,56.40%,17.70%,82.30%,59.50%,40.50%,75.80%,24.20%,30.10%,69.90%,50.30%,49.70%,86.4%,13.6%,44.9%,55.1%,64.1%,35.9%,32.2%,67.8%,30.9%,69.1%
San Joaquin_Total,"62,060","95,611","89,024","59,658","56,482","98,669","97,171","53,522","67,755","84,933","59,334","89,853","84,908","67,814","83,780","65,572","66,067","80,534","70,570","16,141","51,021","36,940","30,867","54,689","46,934","41,011","47,176","40,688"
San Joaquin_Percent,39.30%,60.70%,59.90%,40.10%,36.40%,63.60%,64.50%,35.50%,44.30%,55.70%,39.70%,60.30%,55.60%,44.40%,56.10%,43.90%,45.00%,55.00%,81.4%,18.6%,58.1%,41.9%,36.0%,64.0%,53.4%,46.6%,53.7%,46.3%
San Luis Obispo_Total,"54,247","51,158","63,717","32,776","45,868","57,328","63,274","34,457","43,556","58,159","39,395","57,521","52,531","46,362","50,786","45,735","33,371","60,311","59,536","9,252","36,546","32,854","26,385","40,612","30,517","38,754","34,037","34,835"
San Luis Obispo_Percent,51.50%,48.50%,66.10%,33.90%,44.40%,55.60%,64.80%,35.20%,42.80%,57.20%,40.60%,59.40%,53.20%,46.80%,52.70%,47.30%,35.60%,64.40%,86.6%,13.4%,52.7%,47.3%,39.3%,60.7%,44.0%,56.0%,49.4%,50.6%
San Mateo_Total,"112,637","105,813","120,033","83,821","114,657","100,788","110,328","93,968","56,777","155,862","99,418","104,463","137,117","72,158","84,191","120,457","85,032","114,220","101,979","18,774","68,079","54,656","64,366","52,913","47,842","74,878","52,839","69,206"
San Mateo_Percent,51.60%,48.40%,58.90%,41.10%,53.30%,46.70%,54.10%,45.90%,26.70%,73.30%,48.70%,51.30%,65.60%,34.40%,41.10%,58.90%,42.60%,57.40%,84.5%,15.5%,55.5%,44.5%,54.9%,45.1%,38.9%,61.1%,43.2%,56.8%
Santa Barbara_Total,"68,108","63,088","77,844","43,267","61,970","66,491","80,837","41,363","48,993","78,364","53,482","67,511","65,975","57,150","59,501","61,442","44,284","75,140","71,147","9,101","44,678","36,208","32,537","45,561","38,992","40,949","40,869","38,991"
Santa Barbara_Percent,52.00%,48.00%,64.30%,35.70%,48.20%,51.80%,66.20%,33.80%,38.40%,61.60%,44.20%,55.80%,53.60%,46.40%,49.10%,50.90%,37.00%,63.00%,88.7%,11.3%,55.3%,44.7%,41.6%,58.4%,48.7%,51.3%,51.2%,48.8%
Santa Clara_Total,"245,568","263,093","302,266","176,758","262,622","239,467","299,659","181,922","148,173","347,953","211,029","269,389","299,760","178,677","220,706","247,377","182,325","272,254","269,634","41,823","187,816","126,875","159,045","145,692","120,549","193,821","138,378","173,229"
Santa Clara_Percent,48.20%,51.80%,63.20%,36.80%,52.40%,47.60%,62.30%,37.70%,29.80%,70.20%,43.90%,56.10%,62.70%,37.30%,47.10%,52.90%,40.10%,59.90%,86.6%,13.4%,59.7%,40.3%,52.2%,47.8%,38.3%,61.7%,44.4%,55.6%
Santa Cruz_Total,"61,330","34,405","51,984","36,865","64,765","29,992","48,960","39,037","21,547","71,863","48,240","40,089","62,852","27,764","31,857","56,985","34,976","51,934","44,604","7,082","26,966","25,309","26,896","24,051","15,343","36,546","17,235","34,722"
Santa Cruz_Percent,64.10%,35.90%,58.60%,41.40%,68.40%,31.60%,55.70%,44.30%,23.00%,77.00%,54.70%,45.30%,69.40%,30.60%,35.80%,64.20%,40.20%,59.80%,86.3%,13.7%,51.6%,48.4%,52.8%,47.2%,29.5%,70.5%,33.1%,66.9%
Shasta_Total,"25,126","39,647","39,049","22,391","18,473","45,864","41,136","21,276","33,618","29,844","19,510","42,145","25,139","37,583","38,287","23,546","20,066","40,786","34,094","7,845","23,327","19,032","13,891","27,501","19,815","22,740","20,156","22,247"
Shasta_Percent,38.70%,61.30%,63.60%,36.40%,28.70%,71.30%,66.00%,34.00%,53.00%,47.00%,31.60%,68.40%,40.00%,60.00%,62.00%,38.00%,32.90%,67.10%,81.3%,18.7%,55.1%,44.9%,33.5%,66.5%,46.5%,53.5%,47.5%,52.5%
Sierra_Total,831,"1,005","1,053",652,496,"1,303","1,077",670,955,825,592,"1,143",861,907,"1,015",713,604,"1,087","1,207",303,959,591,532,966,821,715,679,868
Sierra_Percent,45.20%,54.80%,61.80%,38.20%,27.50%,72.50%,61.70%,38.30%,53.70%,46.30%,34.10%,65.90%,48.60%,51.40%,58.80%,41.20%,35.70%,64.30%,80.0%,20.0%,61.9%,38.1%,35.5%,64.5%,53.5%,46.5%,43.8%,56.2%
Siskiyou_Total,"8,491","9,875","10,957","6,078","5,094","13,009","11,007","6,284","9,242","8,363","6,419","10,737","8,262","9,206","9,638","7,487","6,067","10,766","9,983","2,315","7,246","5,308","4,080","8,133","6,433","5,928","6,630","5,916"
Siskiyou_Percent,46.20%,53.80%,64.40%,35.60%,28.10%,71.90%,63.70%,36.30%,52.50%,47.50%,37.40%,62.60%,47.20%,52.80%,56.30%,43.70%,36.00%,64.00%,81.2%,18.8%,57.8%,42.2%,33.4%,66.6%,52.1%,47.9%,52.9%,47.1%
Solano_Total,"54,039","63,948","67,821","43,783","50,087","66,314","71,969","40,812","44,936","69,422","49,605","62,829","67,876","46,659","59,912","52,194","46,992","63,532","54,801","11,686","37,100","30,740","25,796","40,373","32,772","35,392","30,785","37,389"
Solano_Percent,45.80%,54.20%,60.80%,39.20%,43.00%,57.00%,63.90%,36.10%,39.20%,60.80%,44.10%,55.90%,59.30%,40.70%,53.50%,46.50%,42.50%,57.50%,82.5%,17.5%,54.7%,45.3%,38.9%,61.1%,48.0%,52.0%,45.1%,54.9%
Sonoma_Total,"99,960","80,978","101,570","67,740","103,657","77,516","96,447","76,335","48,106","130,211","80,616","90,899","116,822","57,105","70,522","99,293","65,951","100,102","98,583","19,003","69,087","50,442","60,419","55,373","39,705","80,381","42,881","75,766"
Sonoma_Percent,55.30%,44.70%,60.00%,40.00%,57.30%,42.70%,55.90%,44.10%,26.90%,73.10%,47.00%,53.00%,67.20%,32.80%,41.50%,58.50%,39.70%,60.30%,83.9%,16.1%,57.8%,42.2%,52.2%,47.8%,33.0%,67.0%,36.1%,63.9%
Stanislaus_Total,"44,629","75,465","71,768","41,162","39,432","78,872","77,134","37,888","56,960","59,215","41,390","72,605","59,529","56,476","67,959","46,079","43,195","68,738","54,113","11,447","38,856","29,357","23,964","42,613","33,540","35,073","35,528","33,008"
Stanislaus_Percent,37.10%,62.90%,63.60%,36.40%,33.30%,66.70%,67.10%,32.90%,49.00%,51.00%,36.30%,63.70%,51.40%,48.60%,59.60%,40.40%,38.50%,61.50%,82.6%,17.4%,57.0%,43.0%,35.9%,64.1%,48.8%,51.2%,51.9%,48.1%
