Category,2006_1A_Yes,2006_1A_No,2006_1B_Yes,2006_1B_No,2006_1C_Yes,2006_1C_No,2006_1D_Yes,2006_1D_No,2006_1E_Yes,2006_1D_No,2006_83_Yes,2006_83_No,2006_84_Yes,2006_84_No,2006_85_Yes,2006_85_No,2006_86_Yes,2006_86_No,2006_87_Yes,2006_87_No,2006_88_Yes,2006_88_No,2006_89_Yes,2006_89_No,2006_90_Yes,2006_90_No,2006_81_Yes,2006_81_No,2006_82_Yes,2006_82_No
Colusa_Total,"3,271","1,497","2,320","2,424","2,214","2,526","2,140","2,590","2,975","1,787","3,491","1,304","1,663","2,902","2,718","2,081","1,449","3,427","1,083","3,742",658,"4,130",602,"4,141","2,372","2,381","1,426","2,524","1,319","2,689"
Colusa_Percent,68.70%,31.30%,48.90%,51.10%,46.70%,53.30%,45.20%,54.80%,62.50%,37.50%,72.90%,27.10%,36.40%,63.60%,56.70%,43.30%,29.70%,70.30%,22.40%,77.60%,13.70%,86.30%,12.60%,87.40%,49.90%,50.10%,36.1%,63.9%,32.9%,67.1%
Contra Costa_Total,"234,457","58,224","195,817","96,323","179,713","111,918","182,856","108,765","210,524","81,601","200,464","92,931","174,136","114,778","113,768","181,989","159,028","140,501","147,591","151,334","77,050","215,613","83,570","203,448","133,554","155,487","93,948","81,856","73,548","104,489"
Contra Costa_Percent,80.20%,19.80%,67.10%,32.90%,61.70%,38.30%,62.80%,37.20%,72.10%,27.90%,68.40%,31.60%,60.30%,39.70%,38.40%,61.60%,53.10%,46.90%,49.30%,50.70%,26.30%,73.70%,29.10%,70.90%,46.20%,53.80%,53.5%,46.5%,41.3%,58.7%
Del Norte_Total,"4,518","2,043","3,005","3,554","3,196","3,360","2,871","3,689","3,170","3,375","4,870","1,764","2,166","4,326","3,222","3,413","2,598","4,087","2,529","4,093","1,307","5,290","1,495","5,051","3,492","3,063","2,644","3,185","2,517","3,350"
Del Norte_Percent,68.90%,31.10%,45.80%,54.20%,48.70%,51.30%,43.70%,56.30%,48.40%,51.60%,73.50%,26.50%,33.30%,66.70%,48.50%,51.50%,38.80%,61.20%,38.10%,61.90%,19.80%,80.20%,22.80%,77.20%,53.30%,46.70%,45.3%,54.7%,42.9%,57.1%
El Dorado_Total,"50,583","14,802","35,091","30,224","31,415","33,820","30,389","35,070","36,373","28,889","46,305","19,933","25,460","38,936","33,070","32,994","26,287","40,723","22,377","44,089","11,696","54,211","12,593","52,505","35,189","29,886","15,462","25,435","12,582","28,712"
El Dorado_Percent,77.40%,22.60%,53.80%,46.20%,48.10%,51.90%,46.40%,53.60%,55.80%,44.20%,70.00%,30.00%,39.50%,60.50%,50.10%,49.90%,39.20%,60.80%,33.60%,66.40%,17.70%,82.30%,19.30%,80.70%,54.10%,45.90%,37.8%,62.2%,30.4%,69.6%
Fresno_Total,"123,375","43,475","101,695","65,053","94,484","71,466","91,984","73,963","98,710","66,205","125,211","42,964","79,640","83,716","97,187","70,597","65,071","104,916","57,848","110,305","32,674","133,058","29,374","135,970","88,446","76,578","47,601","52,016","35,876","64,658"
Fresno_Percent,74.00%,26.00%,61.00%,39.00%,57.00%,43.00%,55.50%,44.50%,59.90%,40.10%,74.50%,25.50%,48.70%,51.30%,58.00%,42.00%,38.20%,61.80%,34.40%,65.60%,19.70%,80.30%,17.70%,82.30%,53.60%,46.40%,47.7%,52.3%,35.6%,64.4%
Glenn_Total,"5,032","2,274","3,198","4,098","3,118","4,187","2,772","4,538","4,307","3,029","5,226","2,191","2,166","5,071","3,965","3,392","1,880","5,613","1,678","5,779",985,"6,389",863,"6,458","3,898","3,298","2,239","4,372","2,201","4,517"
Glenn_Percent,68.90%,31.10%,43.80%,56.20%,42.60%,57.40%,37.90%,62.10%,58.80%,41.20%,70.50%,29.50%,29.90%,70.10%,53.90%,46.10%,25.00%,75.00%,22.50%,77.50%,13.30%,86.70%,11.70%,88.30%,54.20%,45.80%,33.8%,66.2%,32.7%,67.3%
Humboldt_Total,"31,402","14,609","23,106","22,960","25,589","20,688","24,890","21,478","24,833","21,172","29,283","17,592","19,744","25,809","16,392","30,725","21,166","26,520","23,975","23,300","11,257","35,150","17,490","28,490","20,362","23,667","15,764","21,147","16,270","21,146"
Humboldt_Percent,68.30%,31.70%,50.20%,49.80%,55.30%,44.70%,53.70%,46.30%,54.00%,46.00%,62.50%,37.50%,43.30%,56.70%,34.70%,65.30%,44.30%,55.70%,50.80%,49.20%,24.20%,75.80%,38.00%,62.00%,46.20%,53.80%,42.7%,57.3%,43.4%,56.6%
Imperial_Total,"16,113","5,474","13,058","8,527","13,285","8,264","12,932","8,690","12,807","8,652","18,334","3,599","10,913","10,550","14,814","7,110","11,156","10,735","9,449","12,281","5,841","15,788","4,473","17,040","11,140","10,415","8,917","8,365","8,733","8,702"
Imperial_Percent,74.70%,25.30%,60.50%,39.50%,61.70%,38.30%,59.90%,40.10%,59.70%,40.30%,83.60%,16.40%,50.90%,49.10%,67.60%,32.40%,51.00%,49.00%,43.40%,56.60%,27.00%,73.00%,20.70%,79.30%,51.70%,48.30%,51.6%,48.4%,50.1%,49.9%
Inyo_Total,"4,468","1,786","3,266","3,036","2,781","3,497","2,713","3,563","3,062","3,207","4,448","1,920","2,240","4,035","2,995","3,366","2,376","4,089","2,091","4,322","1,083","5,273","1,310","4,966","2,931","3,374","1,697","3,291","1,782","3,310"
Inyo_Percent,71.50%,28.50%,51.90%,48.10%,44.20%,55.80%,43.20%,56.80%,48.80%,51.20%,69.90%,30.10%,35.60%,64.40%,47.00%,53.00%,36.70%,63.30%,32.60%,67.40%,17.00%,83.00%,20.80%,79.20%,46.40%,53.60%,34.0%,66.0%,34.9%,65.1%
Kern_Total,"114,315","32,448","85,463","62,178","73,766","73,094","73,660","73,255","84,068","62,593","114,398","33,455","58,195","87,296","92,563","55,190","48,195","100,829","40,830","107,136","27,736","119,046","21,840","124,481","82,743","63,265","36,950","64,732","29,392","73,231"
Kern_Percent,77.90%,22.10%,57.90%,42.10%,50.30%,49.70%,50.20%,49.80%,57.40%,42.60%,77.40%,22.60%,39.90%,60.10%,62.70%,37.30%,32.30%,67.70%,27.50%,72.50%,18.80%,81.20%,14.90%,85.10%,56.70%,43.30%,36.3%,63.7%,28.6%,71.4%
Kings_Total,"16,045","6,381","12,283","10,168","11,840","10,547","11,103","11,281","12,362","9,961","17,027","5,612","9,560","12,632","14,543","8,093","8,066","14,739","6,423","16,201","3,944","18,482","3,162","19,145","11,665","10,601","5,110","9,481","4,701","9,981"
Kings_Percent,71.60%,28.40%,54.80%,45.20%,52.90%,47.10%,49.60%,50.40%,55.40%,44.60%,75.30%,24.70%,43.00%,57.00%,64.30%,35.70%,35.30%,64.70%,28.30%,71.70%,17.50%,82.50%,14.10%,85.90%,52.40%,47.60%,35.0%,65.0%,32.0%,68.0%
Lake_Total,"13,661","4,852","9,104","9,401","9,803","9,248","8,700","10,314","11,256","7,753","12,898","6,093","8,201","10,593","7,891","11,011","7,189","11,972","7,840","11,408","3,511","15,479","4,252","14,603","8,456","10,453","4,661","8,017","5,135","7,684"
Lake_Percent,73.80%,26.20%,49.10%,50.90%,51.50%,48.50%,45.70%,54.30%,59.30%,40.70%,68.00%,32.00%,43.60%,56.40%,41.70%,58.30%,37.50%,62.50%,40.70%,59.30%,18.40%,81.60%,22.50%,77.50%,44.70%,55.30%,36.7%,63.3%,40.0%,60.0%
Lassen_Total,"5,693","2,552","3,113","5,140","3,696","4,644","3,345","4,998","3,397","4,884","6,276","2,227","2,380","5,880","4,711","3,693","2,971","5,574","2,241","6,148","1,276","7,125","1,335","6,998","4,677","3,699","1,911","4,569","2,418","4,115"
Lassen_Percent,69.10%,30.90%,37.70%,62.30%,44.30%,55.70%,40.00%,60.00%,41.00%,59.00%,73.90%,26.10%,28.80%,71.20%,56.10%,43.90%,34.70%,65.30%,26.70%,73.30%,15.10%,84.90%,16.00%,84.00%,55.90%,44.10%,29.4%,70.6%,37.0%,63.0%
Los Angeles_Total,"1,413,377","436,271","1,219,112","643,544","1,142,754","723,946","1,142,764","738,718","1,214,205","610,173","1,338,627","527,967","1,107,134","724,094","832,215","1,053,390","1,004,446","917,073","972,967","921,590","460,671","1,390,891","508,355","1,325,761","819,472","1,038,410","494,740","441,544","425,069","534,058"
Los Angeles_Percent,76.50%,23.50%,65.50%,34.50%,61.30%,38.70%,60.80%,39.20%,66.60%,33.40%,71.80%,28.20%,60.50%,39.50%,44.10%,55.90%,52.30%,47.70%,51.40%,48.60%,24.80%,75.20%,27.70%,72.30%,44.10%,55.90%,52.9%,47.1%,44.3%,55.7%
Madera_Total,"21,659","7,463","15,801","13,328","15,182","13,983","13,923","15,534","15,973","13,476","22,377","7,406","11,490","17,298","17,720","11,592","10,200","19,416","9,031","20,347","4,774","24,625","4,489","24,742","16,541","12,567","6,660","11,787","5,702","12,938"
Madera_Percent,74.40%,25.60%,54.30%,45.70%,52.10%,47.90%,47.20%,52.80%,54.30%,45.70%,75.20%,24.80%,39.90%,60.10%,60.50%,39.50%,34.40%,65.60%,30.70%,69.30%,16.20%,83.80%,15.30%,84.70%,56.90%,43.10%,36.1%,63.9%,30.5%,69.5%
Marin_Total,"73,833","26,656","63,789","36,445","64,169","36,484","63,548","37,759","70,739","29,999","60,959","40,809","61,762","37,634","24,601","78,642","65,494","39,556","64,855","39,856","31,796","70,007","44,370","55,755","35,445","64,352","41,272","26,405","30,511","38,228"
Marin_Percent,73.50%,26.50%,63.70%,36.30%,63.80%,36.20%,62.80%,37.20%,70.30%,29.70%,59.90%,40.10%,62.20%,37.80%,23.80%,76.20%,62.40%,37.60%,62.00%,38.00%,31.20%,68.80%,44.30%,55.70%,35.50%,64.50%,61.0%,39.0%,44.3%,55.7%
Mariposa_Total,"5,300","2,150","3,676","3,776","3,519","3,949","3,285","4,181","3,659","3,779","5,245","2,289","2,826","4,604","3,745","3,797","2,619","5,002","2,651","4,931","1,114","6,430","1,258","6,175","3,510","3,931","1,814","3,655","1,839","3,720"
Mariposa_Percent,71.20%,28.80%,49.30%,50.70%,47.10%,52.90%,43.90%,56.10%,49.10%,50.90%,69.70%,30.30%,38.00%,62.00%,49.60%,50.40%,34.30%,65.70%,34.90%,65.10%,14.70%,85.30%,16.90%,83.10%,47.10%,52.90%,33.1%,66.9%,33.0%,67.0%
Mendocino_Total,"21,024","8,497","15,079","14,310","17,408","12,225","15,817","13,825","16,779","12,651","17,810","11,989","14,802","14,546","8,775","21,326","15,026","15,551","16,046","14,309","6,827","23,001","10,125","19,238","12,485","17,037","11,572","11,539","11,346","12,057"
Mendocino_Percent,71.30%,28.70%,51.40%,48.60%,58.80%,41.20%,53.40%,46.60%,57.10%,42.90%,59.80%,40.20%,50.50%,49.50%,29.10%,70.90%,49.10%,50.90%,52.90%,47.10%,22.80%,77.20%,34.40%,65.60%,42.20%,57.80%,50.1%,49.9%,48.4%,51.6%
Merced_Total,"28,945","12,091","22,482","18,411","21,733","19,056","21,384","19,529","22,902","17,561","29,779","11,440","18,195","22,328","24,353","16,700","15,795","25,884","12,854","28,336","7,649","32,943","6,060","34,078","20,375","19,801","8,886","12,987","8,388","13,894"
Merced_Percent,70.60%,29.40%,55.00%,45.00%,53.30%,46.70%,52.30%,47.70%,56.60%,43.40%,72.30%,27.70%,44.90%,55.10%,59.40%,40.60%,37.80%,62.20%,31.20%,68.80%,18.80%,81.20%,15.00%,85.00%,50.80%,49.20%,40.6%,59.4%,37.6%,62.4%
Modoc_Total,"2,581","1,064","1,440","2,167","1,694","1,941","1,462","2,185","1,758","1,859","2,780",910,930,"2,599","1,907","1,701",977,"2,762",867,"2,834",427,"3,241",456,"3,181","1,980","1,669",885,"2,596","1,114","2,396"
Modoc_Percent,70.90%,29.10%,39.90%,60.10%,46.60%,53.40%,40.00%,60.00%,48.60%,51.40%,75.40%,24.60%,26.30%,73.70%,52.90%,47.10%,26.10%,73.90%,23.40%,76.60%,11.60%,88.40%,12.50%,87.50%,54.30%,45.70%,25.4%,74.6%,31.7%,68.3%
Mono_Total,"2,598","1,055","1,772","1,887","1,650","1,998","1,648","2,012","1,668","1,946","2,539","1,169","1,510","2,127","1,451","2,268","1,920","1,828","1,650","2,054",796,"2,889",878,"2,759","1,808","1,841","1,313","1,734","1,342","1,727"
Mono_Percent,71.20%,28.80%,48.40%,51.60%,45.20%,54.80%,45.00%,55.00%,46.10%,53.90%,68.50%,31.50%,41.50%,58.50%,39.00%,61.00%,51.30%,48.70%,44.50%,55.50%,21.60%,78.40%,24.10%,75.90%,49.50%,50.50%,43.0%,57.0%,43.7%,56.3%
Monterey_Total,"67,769","18,358","58,042","28,131","54,314","31,746","54,013","32,012","57,528","28,076","61,539","25,083","50,072","35,440","35,283","51,471","46,681","41,008","45,084","42,061","20,566","65,766","30,328","55,382","36,820","48,974","28,201","25,857","22,647","31,827"
Monterey_Percent,78.70%,21.30%,67.40%,32.60%,63.20%,36.80%,62.80%,37.20%,67.30%,32.70%,71.10%,28.90%,58.60%,41.40%,40.60%,59.40%,53.30%,46.70%,51.80%,48.20%,23.80%,76.20%,35.30%,64.70%,42.90%,57.10%,52.2%,47.8%,41.5%,58.5%
Napa_Total,"29,321","12,000","23,295","17,933","22,715","18,523","21,544","19,819","25,328","15,937","27,855","13,938","20,039","20,941","15,475","26,407","20,799","21,612","19,750","22,532","9,302","32,086","9,805","31,290","16,808","24,331","12,791","18,631","10,140","21,692"
Napa_Percent,71.00%,29.00%,56.60%,43.40%,55.10%,44.90%,52.10%,47.90%,61.40%,38.60%,66.70%,33.30%,48.80%,51.20%,36.90%,63.10%,49.00%,51.00%,46.70%,53.30%,22.40%,77.60%,23.80%,76.20%,40.80%,59.20%,40.7%,59.3%,31.8%,68.2%
Nevada_Total,"31,487","9,987","19,859","21,336","20,366","20,968","19,069","22,416","24,984","16,322","27,347","14,454","17,177","23,975","18,803","23,230","17,219","25,420","17,027","25,308","7,724","34,070","10,142","31,435","21,714","19,070","10,655","16,842","9,307","18,500"
Nevada_Percent,76.00%,24.00%,48.20%,51.80%,49.20%,50.80%,45.90%,54.10%,60.50%,39.50%,65.50%,34.50%,41.70%,58.30%,44.70%,55.30%,40.30%,59.70%,40.20%,59.80%,18.40%,81.60%,24.30%,75.70%,53.30%,46.70%,38.7%,61.3%,33.4%,66.6%
Orange_Total,"553,453","142,755","379,773","317,130","337,532","357,870","339,525","356,984","392,823","301,141","533,209","177,887","323,142","369,500","392,982","317,385","322,201","396,759","260,462","452,644","139,462","563,302","133,266","563,426","409,815","289,060","130,864","256,204","107,588","287,249"
Orange_Percent,79.50%,20.50%,54.50%,45.50%,48.50%,51.50%,48.70%,51.30%,56.70%,43.30%,75.00%,25.00%,46.60%,53.40%,55.40%,44.60%,44.80%,55.20%,36.50%,63.50%,19.80%,80.20%,19.10%,80.90%,58.70%,41.30%,33.8%,66.2%,27.2%,72.8%
Placer_Total,"94,468","24,515","66,028","52,690","58,749","59,515","56,052","62,780","69,129","49,518","87,857","32,516","47,628","68,981","62,913","56,952","49,419","72,564","39,648","81,183","20,821","98,664","21,406","96,304","64,061","52,818","25,794","49,774","22,595","55,273"
Placer_Percent,79.40%,20.60%,55.70%,44.30%,49.60%,50.40%,47.10%,52.90%,58.30%,41.70%,73.00%,27.00%,40.80%,59.20%,52.50%,47.50%,40.50%,59.50%,32.80%,67.20%,17.40%,82.60%,18.10%,81.90%,54.90%,45.10%,34.1%,65.9%,29.0%,71.0%
Plumas_Total,"6,188","2,409","3,855","4,743","3,968","4,648","3,651","4,973","4,247","4,356","6,011","2,677","2,858","5,663","4,114","4,551","3,122","5,718","2,947","5,815","1,486","7,203","1,760","6,862","4,675","3,982","2,298","4,138","2,234","4,256"
Plumas_Percent,72.00%,28.00%,44.80%,55.20%,46.00%,54.00%,42.30%,57.70%,49.30%,50.70%,69.20%,30.80%,33.50%,66.50%,47.40%,52.60%,35.30%,64.70%,33.60%,66.40%,17.10%,82.90%,20.40%,79.60%,54.10%,45.90%,35.7%,64.3%,34.4%,65.6%
Riverside_Total,"302,949","70,020","240,786","133,405","209,105","167,205","205,780","170,617","234,796","141,705","304,715","75,467","190,217","182,980","213,658","164,699","160,637","220,884","139,811","240,934","76,352","300,691","67,726","306,115","193,290","180,846","69,066","121,297","58,565","134,802"
Riverside_Percent,81.30%,18.70%,64.40%,35.60%,55.60%,44.40%,54.70%,45.30%,62.40%,37.60%,80.20%,19.80%,51.00%,49.00%,56.50%,43.50%,42.10%,57.90%,36.70%,63.30%,20.20%,79.80%,18.10%,81.90%,51.70%,48.30%,36.2%,63.8%,30.2%,69.8%
Sacramento_Total,"264,598","85,849","220,609","129,750","205,666","143,555","199,518","149,931","251,854","98,503","245,292","107,923","183,327","162,686","165,699","187,913","150,729","207,958","140,874","214,262","74,112","275,890","71,738","274,873","169,782","176,511","101,951","98,001","78,857","122,452"
Sacramento_Percent,75.60%,24.40%,63.00%,37.00%,58.90%,41.10%,57.10%,42.90%,71.90%,28.10%,69.50%,30.50%,53.00%,47.00%,46.80%,53.20%,42.00%,58.00%,39.60%,60.40%,21.10%,78.90%,20.60%,79.40%,49.00%,51.00%,51.0%,49.0%,39.1%,60.9%
San Benito_Total,"10,922","3,123","8,426","5,563","8,119","5,873","7,997","6,023","8,464","5,476","10,293","3,866","7,034","6,869","6,489","7,678","6,563","7,796","5,960","8,270","2,937","11,190","3,144","10,828","6,396","7,552","4,656","5,069","3,882","5,948"
San Benito_Percent,77.80%,22.20%,60.30%,39.70%,58.10%,41.90%,57.10%,42.90%,60.80%,39.20%,72.70%,27.30%,50.60%,49.40%,45.80%,54.20%,45.70%,54.30%,41.80%,58.20%,20.70%,79.30%,22.50%,77.50%,45.80%,54.20%,47.8%,52.2%,39.4%,60.6%
San Bernardino_Total,"266,528","71,092","200,846","137,071","181,107","155,797","177,478","159,657","194,562","140,276","263,425","77,673","160,225","175,036","191,083","149,112","141,537","202,078","125,421","217,300","67,417","269,935","60,250","275,004","177,097","157,701","70,402","107,112","62,696","117,411"
San Bernardino_Percent,79.00%,21.00%,59.50%,40.50%,53.80%,46.20%,52.70%,47.30%,58.20%,41.80%,77.30%,22.70%,47.70%,52.30%,56.20%,43.80%,41.10%,58.90%,36.50%,63.50%,19.90%,80.10%,17.90%,82.10%,52.90%,47.10%,39.6%,60.4%,34.8%,65.2%
San Diego_Total,"599,606","141,325","452,477","288,738","404,644","337,403","390,266","350,421","453,825","283,129","578,379","177,046","364,272","369,468","384,747","372,042","351,967","414,518","319,913","440,103","156,578","588,136","178,439","559,122","394,216","340,425","216,346","255,731","167,940","312,607"
San Diego_Percent,81.00%,19.00%,61.10%,38.90%,54.60%,45.40%,52.70%,47.30%,61.60%,38.40%,76.60%,23.40%,49.60%,50.40%,50.90%,49.10%,45.90%,54.10%,42.00%,58.00%,21.00%,79.00%,24.10%,75.90%,53.70%,46.30%,45.8%,54.2%,34.9%,65.1%
San Francisco_Total,"160,872","74,243","152,220","83,073","172,112","64,999","172,869","64,478","176,818","55,940","111,423","122,814","167,818","64,784","56,379","181,347","162,155","78,683","173,892","68,899","88,931","147,537","120,414","113,075","67,865","165,769","91,110","46,440","80,787","59,184"
San Francisco_Percent,68.50%,31.50%,64.70%,35.30%,72.60%,27.40%,72.90%,27.10%,76.00%,24.00%,47.50%,52.50%,72.20%,27.80%,23.70%,76.30%,67.40%,32.60%,71.70%,28.30%,37.60%,62.40%,51.60%,48.40%,29.00%,71.00%,66.3%,33.7%,57.8%,42.2%
San Joaquin_Total,"102,819","30,674","80,969","52,937","76,837","56,791","74,119","59,720","91,521","42,337","102,492","33,433","65,037","67,593","73,239","61,701","56,336","80,746","50,298","85,483","28,931","105,548","27,064","106,370","69,137","64,373","34,797","43,148","29,230","49,460"
San Joaquin_Percent,77.10%,22.90%,60.50%,39.50%,57.60%,42.40%,55.40%,44.60%,68.40%,31.60%,75.50%,24.50%,49.00%,51.00%,54.30%,45.70%,41.00%,59.00%,37.00%,63.00%,21.50%,78.50%,20.20%,79.80%,51.80%,48.20%,44.6%,55.4%,37.1%,62.9%
San Luis Obispo_Total,"71,375","20,323","50,491","40,952","49,056","42,441","47,092","44,828","50,689","40,356","67,201","26,467","40,710","49,289","41,583","52,186","43,844","51,689","42,177","51,964","21,668","70,646","23,440","67,581","47,725","42,786","26,972","35,833","24,450","39,493"
San Luis Obispo_Percent,77.90%,22.10%,55.30%,44.70%,53.70%,46.30%,51.30%,48.70%,55.70%,44.30%,71.80%,28.20%,45.20%,54.80%,44.30%,55.70%,45.80%,54.20%,44.80%,55.20%,23.40%,76.60%,25.70%,74.30%,52.80%,47.20%,42.9%,57.1%,38.2%,61.8%
San Mateo_Total,"149,342","46,712","129,646","65,876","125,445","70,262","124,622","72,276","137,432","56,791","129,536","67,505","117,920","76,237","68,694","131,666","117,548","85,274","113,225","88,750","54,781","142,149","62,667","130,978","76,198","116,417","64,273","53,526","54,079","65,625"
San Mateo_Percent,76.20%,23.80%,66.40%,33.60%,64.10%,35.90%,63.30%,36.70%,70.80%,29.20%,65.80%,34.20%,60.80%,39.20%,34.20%,65.80%,58.00%,42.00%,56.10%,43.90%,27.80%,72.20%,32.30%,67.70%,39.50%,60.50%,54.6%,45.4%,45.1%,54.9%
Santa Barbara_Total,"83,271","33,618","66,679","50,289","65,212","51,692","64,763","52,824","69,246","46,867","76,566","42,209","59,161","56,273","49,074","70,594","60,381","60,664","57,194","62,668","29,808","87,828","28,246","87,887","51,305","64,853","39,859","45,373","33,465","52,029"
Santa Barbara_Percent,71.30%,28.70%,57.10%,42.90%,55.80%,44.20%,55.10%,44.90%,59.70%,40.30%,64.50%,35.50%,51.30%,48.70%,41.00%,59.00%,49.80%,50.20%,47.70%,52.30%,25.30%,74.70%,24.30%,75.70%,44.10%,55.90%,46.7%,53.3%,39.1%,60.9%
Santa Clara_Total,"325,189","94,900","267,397","151,914","253,623","165,352","257,942","161,422","279,384","137,351","275,675","147,222","245,122","171,015","164,204","260,594","246,010","184,205","223,786","205,164","119,665","302,134","122,729","289,560","169,789","240,736","141,587","126,978","108,955","161,473"
Santa Clara_Percent,77.50%,22.50%,63.80%,36.20%,60.60%,39.40%,61.60%,38.40%,67.10%,32.90%,65.20%,34.80%,59.00%,41.00%,38.60%,61.40%,57.20%,42.80%,52.20%,47.80%,28.30%,71.70%,29.70%,70.30%,41.30%,58.70%,52.8%,47.2%,40.2%,59.8%
Santa Cruz_Total,"61,952","23,820","49,799","36,071","55,890","30,596","54,538","32,205","56,786","29,138","49,163","37,904","53,037","32,675","23,302","65,519","49,212","40,083","54,276","34,492","22,961","63,610","33,025","52,405","32,237","53,493","31,391","22,465","24,944","29,266"
Santa Cruz_Percent,72.30%,27.70%,58.00%,42.00%,64.70%,35.30%,62.90%,37.10%,66.10%,33.90%,56.50%,43.50%,61.90%,38.10%,26.20%,73.80%,55.20%,44.80%,61.20%,38.80%,26.50%,73.50%,38.60%,61.40%,37.60%,62.40%,58.3%,41.7%,46.0%,54.0%
Shasta_Total,"41,900","15,116","28,027","29,311","26,445","30,887","23,395","34,023","28,911","28,441","40,374","17,755","20,268","36,730","31,142","26,785","17,951","40,716","15,562","42,757","8,502","49,288","8,779","48,533","34,139","22,869","12,481","26,284","11,742","27,490"
Shasta_Percent,73.50%,26.50%,48.80%,51.20%,46.10%,53.90%,40.70%,59.30%,50.50%,49.50%,69.50%,30.50%,35.50%,64.50%,53.80%,46.20%,30.50%,69.50%,26.60%,73.40%,14.70%,85.30%,15.30%,84.70%,59.90%,40.10%,32.1%,67.9%,29.9%,70.1%
Sierra_Total,"1,121",432,640,912,678,880,637,911,727,823,"1,101",471,447,"1,085",777,779,532,"1,063",451,"1,120",246,"1,329",288,"1,268",901,659,426,"1,011",524,930
Sierra_Percent,72.20%,27.80%,41.20%,58.80%,43.50%,56.50%,41.10%,58.90%,46.90%,53.10%,70.10%,29.90%,29.10%,70.90%,49.90%,50.10%,33.30%,66.70%,28.70%,71.30%,15.60%,84.40%,18.50%,81.50%,57.80%,42.20%,29.6%,70.4%,36.0%,64.0%
Siskiyou_Total,"11,448","4,591","6,405","9,619","7,262","8,754","6,186","9,899","7,182","8,833","11,330","4,965","4,774","11,062","7,646","8,546","6,182","10,335","5,405","10,887","2,526","13,675","3,711","12,390","9,329","6,853","4,087","8,134","4,573","7,726"
