,Proposition 1A,,Proposition 2,,Proposition 3,,Proposition 4,,Proposition 5,,Proposition 6,,Proposition 7,,Proposition 8,,Proposition 9,,Proposition 10,,Proposition 11,,Proposition 12,
  Percent,36.90%,63.10%,55.00%,45.00%,36.90%,63.10%,48.60%,51.40%,31.90%,68.10%,27.30%,72.70%,30.20%,69.80%,58.30%,41.70%,55.00%,45.00%,28.40%,71.60%,59.30%,40.70%,57.00%,43.00%
,,,,,,,,,,,,,,,,,,,,,,,,
Fresno,"145,333","116,998","130,122","132,606","141,855","118,390","158,158","105,835","85,599","174,597","84,579","168,676","84,966","172,873","185,993","85,122","148,416","106,217","101,681","154,923","129,028","117,564","164,585","89,967"
  Percent,55.50%,44.50%,49.50%,50.50%,54.60%,45.40%,60.00%,40.00%,32.80%,67.20%,33.30%,66.70%,32.90%,67.10%,68.70%,31.30%,58.30%,41.70%,39.60%,60.40%,52.40%,47.60%,64.70%,35.30%
,,,,,,,,,,,,,,,,,,,,,,,,
Glenn,"2,460","7,088","3,636","6,002","3,425","6,094","5,470","4,164","2,767","6,763","2,634","6,759","2,364","7,126","7,235","2,644","5,016","4,383","2,267","7,216","4,751","4,435","5,620","3,828"
  Percent,25.70%,74.30%,37.70%,62.30%,35.90%,64.10%,56.80%,43.20%,29.00%,71.00%,28.00%,72.00%,24.90%,75.10%,73.30%,26.70%,53.40%,46.60%,23.90%,76.10%,51.80%,48.20%,59.50%,40.50%
,,,,,,,,,,,,,,,,,,,,,,,,
Humboldt,"25,839","34,845","40,701","21,230","28,636","31,601","22,274","39,555","31,145","29,887","13,890","45,683","20,819","39,715","25,296","37,963","28,565","30,294","19,631","40,353","24,469","32,602","36,335","22,452"
  Percent,42.50%,57.50%,65.80%,34.20%,47.50%,52.50%,36.00%,64.00%,51.10%,48.90%,23.30%,76.70%,34.30%,65.70%,39.90%,60.10%,48.50%,51.50%,32.70%,67.30%,42.80%,57.20%,61.90%,38.10%
,,,,,,,,,,,,,,,,,,,,,,,,
Imperial,"20,688","16,840","21,016","16,313","26,064","11,335","28,195","10,103","14,645","22,664","17,428","19,490","19,430","17,489","27,048","11,783","25,055","12,121","16,351","17,104","14,654","17,802","22,972","10,099"
  Percent,55.20%,44.80%,56.30%,43.70%,69.70%,30.30%,73.70%,26.30%,39.20%,60.80%,47.20%,52.80%,52.70%,47.30%,69.70%,30.30%,67.40%,32.60%,48.80%,51.20%,45.10%,54.90%,69.50%,30.50%
,,,,,,,,,,,,,,,,,,,,,,,,
Inyo,"2,855","5,294","4,689","3,637","3,646","4,469","3,927","4,274","3,123","5,054","2,601","5,394","2,674","5,442","5,116","3,334","4,351","3,607","2,499","5,572","3,520","4,183","5,131","2,929"
  Percent,35.00%,65.00%,56.40%,43.60%,44.90%,55.10%,47.80%,52.20%,38.10%,61.90%,32.50%,67.50%,32.90%,67.10%,60.60%,39.40%,54.70%,45.30%,30.90%,69.10%,45.60%,54.40%,63.70%,36.30%
,,,,,,,,,,,,,,,,,,,,,,,,
Kern,"114,768","111,478","120,655","106,283","120,006","104,777","148,170","78,303","66,835","158,673","78,536","142,591","90,269","132,436","175,167","57,496","138,578","83,524","91,783","131,667","103,123","113,355","140,377","81,616"
  Percent,50.80%,49.20%,53.20%,46.80%,53.40%,46.60%,65.50%,34.50%,29.60%,70.40%,35.50%,64.50%,40.50%,59.50%,75.30%,24.70%,62.40%,37.60%,41.00%,59.00%,47.60%,52.40%,63.30%,36.70%
,,,,,,,,,,,,,,,,,,,,,,,,
Kings,"16,182","17,906","15,862","18,332","20,286","14,093","23,025","11,425","10,492","23,607","13,002","20,771","11,448","22,411","25,821","9,244","20,645","13,229","13,606","20,411","16,025","17,034","22,843","11,184"
  Percent,47.40%,52.60%,46.30%,53.70%,59.10%,40.90%,66.90%,33.10%,30.70%,69.30%,38.40%,61.60%,33.80%,66.20%,73.70%,26.30%,61.00%,39.00%,39.90%,60.10%,48.40%,51.60%,67.20%,32.80%
,,,,,,,,,,,,,,,,,,,,,,,,
Lake,"11,369","13,225","15,801","9,211","12,390","12,228","11,338","13,628","10,295","14,477","7,120","17,222","8,747","16,002","13,036","12,080","13,226","10,871","9,185","15,170","11,395","12,265","16,356","8,140"
  Percent,46.20%,53.80%,63.20%,36.80%,50.40%,49.60%,45.40%,54.60%,41.50%,58.50%,29.20%,70.80%,35.30%,64.70%,52.00%,48.00%,54.90%,45.10%,37.70%,62.30%,48.10%,51.90%,66.80%,33.20%
,,,,,,,,,,,,,,,,,,,,,,,,
Lassen,"3,003","7,934","4,809","6,161","4,475","6,379","6,454","4,558","3,542","7,442","3,529","7,291","4,380","6,416","8,021","3,241","6,789","4,063","3,251","7,633","4,304","6,218","6,889","4,014"
  Percent,27.40%,72.60%,43.80%,56.20%,41.20%,58.80%,58.70%,41.30%,32.20%,67.80%,32.60%,67.40%,40.50%,59.50%,71.30%,28.70%,62.60%,37.40%,29.80%,70.20%,40.90%,59.10%,63.20%,36.80%
,,,,,,,,,,,,,,,,,,,,,,,,
Los Angeles,"1,694,649","1,354,093","2,090,665","1,026,497","1,882,951","1,160,833","1,437,830","1,673,251","1,312,378","1,751,858","907,732","2,052,672","1,127,468","1,893,487","1,624,672","1,622,287","1,537,289","1,428,673","1,368,119","1,657,227","1,378,561","1,513,159","1,955,109","990,171"
  Percent,55.60%,44.40%,67.10%,32.90%,61.90%,38.10%,46.20%,53.80%,42.80%,57.20%,30.60%,69.40%,37.30%,62.70%,50.10%,49.90%,51.90%,48.10%,45.20%,54.80%,47.60%,52.40%,66.40%,33.60%
,,,,,,,,,,,,,,,,,,,,,,,,
Madera,"18,961","21,984","18,901","22,249","20,873","20,268","26,343","14,732","12,716","27,898","13,237","26,764","12,918","27,574","30,906","11,193","22,575","17,600","13,742","26,887","20,173","19,023","26,656","13,590"
  Percent,46.30%,53.70%,45.90%,54.10%,50.80%,49.20%,64.20%,35.80%,31.30%,68.70%,33.00%,67.00%,31.90%,68.10%,73.50%,26.50%,56.20%,43.80%,33.80%,66.20%,51.50%,48.50%,66.30%,33.70%
,,,,,,,,,,,,,,,,,,,,,,,,
Marin,"87,159","46,540","97,368","37,940","67,095","62,623","34,554","100,289","67,327","63,769","26,934","99,883","41,944","89,628","34,324","103,341","56,283","71,827","41,199","89,161","70,950","52,494","84,531","42,874"
  Percent,65.20%,34.80%,72.00%,28.00%,51.80%,48.20%,25.60%,74.40%,51.40%,48.60%,21.20%,78.80%,31.80%,68.20%,24.90%,75.10%,43.90%,56.10%,31.60%,68.40%,57.50%,42.50%,66.40%,33.60%
,,,,,,,,,,,,,,,,,,,,,,,,
Mariposa,"4,022","5,342","4,816","4,623","4,193","5,104","4,753","4,648","3,411","5,927","2,376","6,807","2,630","6,672","5,961","3,640","4,479","4,693","2,808","6,454","4,208","4,733","5,984","3,272"
  Percent,42.90%,57.10%,51.10%,48.90%,45.10%,54.90%,50.60%,49.40%,36.50%,63.50%,25.80%,74.20%,28.20%,71.80%,62.10%,37.90%,48.80%,51.20%,30.30%,69.70%,47.00%,53.00%,64.70%,35.30%
,,,,,,,,,,,,,,,,,,,,,,,,
Mendocino,"21,199","17,412","27,698","11,678","19,794","18,423","12,680","26,304","20,023","18,469","7,518","30,210","12,923","25,471","14,649","25,072","17,109","20,522","13,193","24,775","15,142","21,613","25,304","12,700"
  Percent,55.00%,45.00%,70.40%,29.60%,51.80%,48.20%,32.50%,67.50%,52.10%,47.90%,19.90%,80.10%,33.60%,66.40%,36.80%,63.20%,45.40%,54.60%,34.70%,65.30%,41.10%,58.90%,66.60%,33.40%
,,,,,,,,,,,,,,,,,,,,,,,,
Merced,"32,609","28,669","26,161","35,881","34,375","27,168","38,800","23,129","19,489","41,932","23,135","37,003","21,310","39,504","44,800","18,520","35,154","25,036","23,419","37,253","28,832","29,741","39,739","20,657"
  Percent,53.30%,46.70%,42.10%,57.90%,55.90%,44.10%,62.70%,37.30%,31.70%,68.30%,38.40%,61.60%,35.00%,65.00%,70.80%,29.20%,58.50%,41.50%,38.50%,61.50%,49.20%,50.80%,65.80%,34.20%
,,,,,,,,,,,,,,,,,,,,,,,,
Modoc,977,"3,368","1,748","2,608","1,485","2,858","2,372","1,969","1,217","3,154","1,035","3,263","1,246","3,045","3,279","1,142","2,554","1,727",959,"3,365","1,873","2,314","2,769","1,564"
  Percent,22.40%,77.60%,40.10%,59.90%,34.10%,65.90%,54.70%,45.30%,27.80%,72.20%,24.00%,76.00%,29.00%,71.00%,74.20%,25.80%,59.70%,40.30%,22.10%,77.90%,44.70%,55.30%,64.00%,36.00%
,,,,,,,,,,,,,,,,,,,,,,,,
Mono,"2,183","3,116","3,100","2,242","2,271","2,969","2,125","3,218","2,303","2,988","1,341","3,842","2,474","2,828","2,425","3,050","2,787","2,338","2,022","3,232","2,386","2,526","3,115","2,092"
  Percent,41.10%,58.90%,58.10%,41.90%,43.30%,56.70%,39.70%,60.30%,43.50%,56.50%,25.80%,74.20%,46.60%,53.40%,44.20%,55.80%,54.40%,45.60%,38.40%,61.60%,48.50%,51.50%,59.90%,40.10%
,,,,,,,,,,,,,,,,,,,,,,,,
Monterey,"71,119","49,305","82,163","40,844","66,687","54,368","53,977","69,078","55,615","66,353","38,803","83,598","43,290","80,924","62,251","66,191","63,684","58,553","52,790","70,061","55,771","63,253","79,495","42,087"
  Percent,59.10%,40.90%,66.80%,33.20%,55.10%,44.90%,43.80%,56.20%,45.50%,54.50%,31.70%,68.30%,34.80%,65.20%,48.40%,51.60%,52.10%,47.90%,42.90%,57.10%,46.80%,53.20%,65.40%,34.60%
,,,,,,,,,,,,,,,,,,,,,,,,
Napa,"29,138","27,535","37,603","20,112","28,388","27,492","24,058","33,419","23,440","32,839","15,397","39,262","19,112","36,996","26,227","32,742","28,097","26,611","19,338","36,494","28,249","25,101","35,680","19,266"
  Percent,51.50%,48.50%,65.20%,34.80%,50.90%,49.10%,41.80%,58.20%,41.60%,58.40%,28.20%,71.80%,34.00%,66.00%,44.40%,55.60%,51.40%,48.60%,34.60%,65.40%,53.00%,47.00%,65.00%,35.00%
,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,"23,101","29,974","32,949","21,104","19,277","33,493","23,417","30,512","19,975","33,378","12,006","39,801","15,891","37,088","27,617","27,614","26,897","25,043","15,884","36,985","28,925","21,406","28,495","23,558"
  Percent,43.50%,56.50%,61.00%,39.00%,36.50%,63.50%,43.40%,56.60%,37.40%,62.60%,23.10%,76.90%,29.90%,70.10%,50.10%,49.90%,51.80%,48.20%,30.00%,70.00%,57.50%,42.50%,54.80%,45.20%
,,,,,,,,,,,,,,,,,,,,,,,,
Orange,"470,846","608,271","660,741","441,070","528,320","547,061","600,830","504,707","380,102","701,377","321,170","732,879","373,504","705,463","659,037","484,015","612,578","446,576","418,350","657,191","559,971","458,329","603,006","445,357"
  Percent,43.60%,56.40%,60.00%,40.00%,49.10%,50.90%,54.40%,45.60%,35.10%,64.90%,30.40%,69.60%,34.60%,65.40%,57.70%,42.30%,57.90%,42.10%,38.80%,61.20%,55.00%,45.00%,57.60%,42.40%
,,,,,,,,,,,,,,,,,,,,,,,,
Placer,"65,790","99,957","91,847","75,949","62,945","100,614","84,165","83,483","47,776","117,371","43,594","117,289","48,441","115,480","102,977","69,444","87,692","73,467","49,625","114,279","91,962","63,849","87,009","72,690"
  Percent,39.60%,60.40%,54.80%,45.20%,38.40%,61.60%,50.30%,49.70%,28.90%,71.10%,27.00%,73.00%,29.50%,70.50%,59.80%,40.20%,54.50%,45.50%,30.20%,69.80%,59.10%,40.90%,54.50%,45.50%
,,,,,,,,,,,,,,,,,,,,,,,,
Plumas,"3,338","7,370","5,791","5,092","4,022","6,691","5,027","5,762","3,517","7,231","2,489","8,089","3,248","7,415","6,576","4,401","5,637","4,944","2,867","7,822","5,327","4,990","6,416","4,242"
  Percent,31.10%,68.90%,53.30%,46.70%,37.50%,62.50%,46.50%,53.50%,32.70%,67.30%,23.50%,76.50%,30.40%,69.60%,60.00%,40.00%,53.30%,46.70%,26.80%,73.20%,51.70%,48.30%,60.20%,39.80%
,,,,,,,,,,,,,,,,,,,,,,,,
Riverside,"293,145","304,909","385,064","234,527","347,838","264,945","378,731","252,389","227,632","395,445","238,778","370,001","238,816","377,353","417,133","228,449","385,826","225,510","283,962","333,854","317,654","278,716","403,243","197,863"
  Percent,49.00%,51.00%,62.20%,37.80%,56.80%,43.20%,60.10%,39.90%,36.50%,63.50%,39.20%,60.80%,38.70%,61.30%,64.70%,35.30%,63.20%,36.80%,45.90%,54.10%,53.30%,46.70%,67.10%,32.90%
,,,,,,,,,,,,,,,,,,,,,,,,
Sacramento,"246,221","269,646","309,808","212,795","237,948","271,508","240,508","279,444","183,291","330,247","151,892","350,584","172,707","338,387","289,378","248,444","255,179","239,041","179,331","318,992","266,967","211,570","277,515","212,145"
  Percent,47.70%,52.30%,59.30%,40.70%,46.70%,53.30%,46.20%,53.80%,35.60%,64.40%,30.20%,69.80%,33.70%,66.30%,53.90%,46.10%,51.70%,48.30%,35.90%,64.10%,55.80%,44.20%,56.70%,43.30%
,,,,,,,,,,,,,,,,,,,,,,,,
San Benito,"9,671","9,062","10,911","8,043","10,172","8,512","9,045","9,906","7,757","10,987","6,147","12,253","7,064","11,548","10,657","8,794","10,815","7,846","6,902","11,868","8,782","9,213","11,980","6,683"
  Percent,51.70%,48.30%,57.60%,42.40%,54.50%,45.50%,47.70%,52.30%,41.30%,58.70%,33.40%,66.60%,37.90%,62.10%,54.80%,45.20%,58.00%,42.00%,36.70%,63.30%,48.80%,51.20%,64.20%,35.80%
,,,,,,,,,,,,,,,,,,,,,,,,
San Bernardino,"260,348","302,748","352,639","219,903","314,785","249,463","338,913","234,018","197,931","367,609","208,256","348,089","206,013","373,201","404,762","201,227","354,875","218,413","249,993","326,901","285,888","267,308","364,126","201,191"
  Percent,46.20%,53.80%,61.60%,38.40%,55.80%,44.20%,59.20%,40.80%,34.90%,65.10%,37.40%,62.60%,35.50%,64.50%,66.80%,33.20%,62.00%,38.00%,43.30%,56.70%,51.70%,48.30%,64.50%,35.50%
,,,,,,,,,,,,,,,,,,,,,,,,
San Diego,"560,342","592,692","776,879","409,660","597,502","544,959","623,098","558,159","462,758","690,669","369,801","746,638","423,335","724,595","655,625","565,054","616,204","499,202","487,114","648,327","582,690","488,822","666,846","442,435"
  Percent,48.50%,51.50%,65.50%,34.50%,52.30%,47.70%,52.80%,47.20%,40.10%,59.90%,33.10%,66.90%,36.80%,63.20%,53.80%,46.20%,55.30%,44.70%,42.90%,57.10%,54.40%,45.60%,60.20%,39.80%
,,,,,,,,,,,,,,,,,,,,,,,,
San Francisco,"282,091","78,024","259,828","99,110","206,825","140,590","89,333","272,717","212,229","139,148","69,527","266,972","108,433","239,068","92,536","280,491","123,376","211,062","122,588","219,986","119,902","204,690","229,090","107,446"
  Percent,78.40%,21.60%,72.40%,27.60%,59.60%,40.40%,24.60%,75.40%,60.40%,39.60%,20.60%,79.40%,31.20%,68.80%,24.80%,75.20%,36.80%,63.20%,35.70%,64.30%,36.90%,63.10%,68.10%,31.90%
,,,,,,,,,,,,,,,,,,,,,,,,
San Joaquin,"105,914","92,910","112,591","88,526","106,489","90,479","111,550","89,104","67,683","130,204","70,912","122,024","74,334","122,027","135,728","71,747","118,086","77,397","82,975","113,296","94,967","93,851","128,385","66,703"
  Percent,53.30%,46.70%,56.00%,44.00%,54.10%,45.90%,55.60%,44.40%,34.20%,65.80%,36.70%,63.30%,37.80%,62.20%,65.50%,34.50%,60.50%,39.50%,42.20%,57.80%,50.30%,49.70%,65.90%,34.10%
,,,,,,,,,,,,,,,,,,,,,,,,
San Luis Obispo,"58,093","67,252","73,020","55,002","57,812","66,191","57,144","70,817","53,415","71,615","29,466","92,089","43,063","81,679","67,304","64,555","64,814","57,001","43,524","80,438","59,713","58,339","75,619","46,888"
  Percent,46.30%,53.70%,57.10%,42.90%,46.60%,53.40%,44.60%,55.40%,42.70%,57.30%,24.20%,75.80%,34.50%,65.50%,51.10%,48.90%,53.30%,46.70%,35.10%,64.90%,50.60%,49.40%,61.80%,38.20%
,,,,,,,,,,,,,,,,,,,,,,,,
San Mateo,"174,919","111,669","197,245","92,595","161,865","117,620","108,415","181,282","128,596","152,974","74,760","199,150","95,648","185,805","114,695","185,127","133,412","138,793","98,800","177,564","133,035","127,856","175,250","96,122"
  Percent,61.10%,38.90%,68.10%,31.90%,58.00%,42.00%,37.40%,62.60%,45.60%,54.40%,27.20%,72.80%,33.90%,66.10%,38.20%,61.80%,49.00%,51.00%,35.70%,64.30%,51.00%,49.00%,64.60%,35.40%
,,,,,,,,,,,,,,,,,,,,,,,,
Santa Barbara,"89,533","75,916","114,110","54,017","88,609","74,883","71,537","96,406","82,255","82,039","44,884","114,522","71,526","92,350","80,117","92,305","82,467","76,557","61,068","99,827","81,670","72,269","100,870","58,530"
  Percent,54.20%,45.80%,67.90%,32.10%,54.20%,45.80%,42.50%,57.50%,50.10%,49.90%,28.10%,71.90%,43.60%,56.40%,46.40%,53.60%,51.90%,48.10%,37.90%,62.10%,53.10%,46.90%,63.30%,36.70%
,,,,,,,,,,,,,,,,,,,,,,,,
Santa Clara,"364,056","239,071","416,785","211,658","370,502","244,132","272,479","358,263","265,933","352,011","181,146","428,091","224,893","399,452","291,347","367,053","318,186","290,104","260,017","358,944","312,354","275,271","368,378","226,017"
  Percent,60.40%,39.60%,66.40%,33.60%,60.30%,39.70%,43.10%,56.90%,43.00%,57.00%,29.70%,70.30%,36.00%,64.00%,44.20%,55.80%,52.40%,47.60%,42.00%,58.00%,53.20%,46.80%,62.00%,38.00%
,,,,,,,,,,,,,,,,,,,,,,,,
Santa Cruz,"72,480","47,962","90,225","32,239","64,974","53,257","34,170","88,628","66,911","53,178","23,792","92,597","40,739","79,025","36,163","89,793","48,980","67,212","44,702","73,636","55,825","55,337","73,595","41,653"
  Percent,60.20%,39.80%,73.70%,26.30%,55.00%,45.00%,27.80%,72.20%,55.80%,44.20%,20.40%,79.60%,34.00%,66.00%,28.70%,71.30%,42.10%,57.90%,37.70%,62.30%,50.30%,49.70%,63.90%,36.10%
,,,,,,,,,,,,,,,,,,,,,,,,
Shasta,"23,829","52,658","41,178","36,692","30,771","45,857","44,202","33,755","24,967","52,207","21,045","54,441","23,380","53,080","55,698","24,224","42,890","33,140","23,631","52,967","37,635","35,265","48,546","26,956"
  Percent,31.10%,68.90%,52.90%,47.10%,40.10%,59.90%,56.80%,43.20%,32.30%,67.70%,27.80%,72.20%,30.50%,69.50%,69.70%,30.30%,56.50%,43.50%,30.80%,69.20%,51.70%,48.30%,64.30%,35.70%
,,,,,,,,,,,,,,,,,,,,,,,,
Sierra,625,"1,301",993,956,693,"1,236",976,959,622,"1,294",452,"1,441",581,"1,345","1,273",711,"1,040",867,517,"1,402",849,994,"1,157",768
  Percent,32.40%,67.60%,51.00%,49.00%,35.90%,64.10%,50.50%,49.50%,32.40%,67.60%,23.80%,76.20%,30.10%,69.90%,64.20%,35.80%,54.60%,45.40%,26.90%,73.10%,46.00%,54.00%,60.20%,39.80%
,,,,,,,,,,,,,,,,,,,,,,,,
Siskiyou,"6,909","13,618","10,798","9,741","8,108","12,174","10,369","10,250","7,492","12,967","4,731","15,398","7,756","12,468","12,668","8,475","11,462","8,727","6,045","14,329","9,231","10,289","13,250","7,135"
  Percent,33.60%,66.40%,52.60%,47.40%,39.90%,60.10%,50.30%,49.70%,36.60%,63.40%,23.50%,76.50%,38.30%,61.70%,60.00%,40.00%,56.80%,43.20%,29.60%,70.40%,47.20%,52.80%,65.00%,35.00%
,,,,,,,,,,,,,,,,,,,,,,,,
Solano,"83,077","71,077","101,154","54,167","89,779","63,583","78,279","77,768","62,217","90,825","49,565","101,219","55,895","96,989","89,292","70,680","90,470","61,582","59,627","84,247","72,551","66,395","96,023","46,673"
  Percent,53.90%,46.10%,65.20%,34.80%,58.60%,41.40%,50.20%,49.80%,40.60%,59.40%,32.80%,67.20%,36.50%,63.50%,55.90%,44.10%,59.50%,40.50%,41.40%,58.60%,52.30%,47.70%,67.30%,32.70%
,,,,,,,,,,,,,,,,,,,,,,,,
Sonoma,"140,754","79,647","140,586","81,725","104,152","111,024","73,543","147,556","96,279","121,544","48,074","164,420","71,052","146,786","76,143","150,763","96,776","112,773","73,538","139,356","107,548","95,392","138,211","71,605"
  Percent,63.90%,36.10%,63.30%,36.70%,48.40%,51.60%,33.20%,66.80%,44.20%,55.80%,22.60%,77.40%,32.60%,67.40%,33.50%,66.50%,46.10%,53.90%,34.50%,65.50%,53.00%,47.00%,65.90%,34.10%
,,,,,,,,,,,,,,,,,,,,,,,,
Stanislaus,"75,469","78,527","69,651","86,403","76,269","77,570","93,406","63,015","47,805","106,309","58,678","92,163","57,922","95,109","108,988","51,598","92,208","59,304","58,882","93,298","76,365","70,534","98,485","52,605"
  Percent,49.00%,51.00%,44.60%,55.40%,49.50%,50.50%,59.80%,40.20%,31.00%,69.00%,38.90%,61.10%,37.80%,62.20%,67.90%,32.10%,60.90%,39.10%,38.60%,61.40%,52.00%,48.00%,65.20%,34.80%
,,,,,,,,,,,,,,,,,,,,,,,,
Sutter,"11,538","19,463","15,843","15,769","13,859","17,319","18,744","12,907","9,861","21,414","10,588","20,119","9,679","21,346","23,032","9,707","17,150","13,661","9,855","20,972","16,062","13,797","18,030","12,304"
  Percent,37.20%,62.80%,50.20%,49.80%,44.40%,55.60%,59.30%,40.70%,31.50%,68.50%,34.40%,65.60%,31.10%,68.90%,70.40%,29.60%,55.70%,44.30%,31.90%,68.10%,53.80%,46.20%,59.50%,40.50%
,,,,,,,,,,,,,,,,,,,,,,,,
Tehama,"6,756","16,744","11,630","12,267","9,353","14,220","13,673","10,153","7,778","15,933","6,652","16,638","7,022","16,492","17,777","6,675","13,260","10,131","6,597","16,822","10,934","11,556","14,464","8,756"
  Percent,28.70%,71.30%,48.60%,51.40%,39.60%,60.40%,57.40%,42.60%,32.80%,67.20%,28.50%,71.50%,29.80%,70.20%,72.80%,27.20%,56.70%,43.30%,28.10%,71.90%,48.60%,51.40%,62.30%,37.70%
,,,,,,,,,,,,,,,,,,,,,,,,
Trinity,"1,976","4,247","3,525","2,748","2,544","3,664","2,832","3,441","2,585","3,663","1,621","4,516","1,749","4,447","3,563","2,785","3,216","2,886","1,751","4,389","2,676","3,258","3,928","2,237"
  Percent,31.70%,68.30%,56.20%,43.80%,40.90%,59.10%,45.10%,54.90%,41.30%,58.70%,26.40%,73.60%,28.20%,71.80%,56.20%,43.80%,52.80%,47.20%,28.50%,71.50%,45.00%,55.00%,63.80%,36.20%
,,,,,,,,,,,,,,,,,,,,,,,,
