GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
MOE_VC45,Margin of Error; GRANDPARENTS - Number of grandparents living with own grandchildren under 18 years in households - Years responsible for grandchildren - 1 or 2 years
EST_VC46,Estimate; GRANDPARENTS - Number of grandparents living with own grandchildren under 18 years in households - Years responsible for grandchildren - 3 or 4 years
MOE_VC46,Margin of Error; GRANDPARENTS - Number of grandparents living with own grandchildren under 18 years in households - Years responsible for grandchildren - 3 or 4 years
EST_VC47,Estimate; GRANDPARENTS - Number of grandparents living with own grandchildren under 18 years in households - Years responsible for grandchildren - 5 or more years
MOE_VC47,Margin of Error; GRANDPARENTS - Number of grandparents living with own grandchildren under 18 years in households - Years responsible for grandchildren - 5 or more years
EST_VC49,Estimate; GRANDPARENTS - Characteristics of grandparents responsible for own grandchildren under 18 years - Who are female
MOE_VC49,Margin of Error; GRANDPARENTS - Characteristics of grandparents responsible for own grandchildren under 18 years - Who are female
EST_VC50,Estimate; GRANDPARENTS - Characteristics of grandparents responsible for own grandchildren under 18 years - Who are married
MOE_VC50,Margin of Error; GRANDPARENTS - Characteristics of grandparents responsible for own grandchildren under 18 years - Who are married
EST_VC52,Estimate; VETERAN STATUS - Civilian population 18 years and over
MOE_VC52,Margin of Error; VETERAN STATUS - Civilian population 18 years and over
EST_VC53,Estimate; VETERAN STATUS - Civilian population 18 years and over - Civilian veterans
MOE_VC53,Margin of Error; VETERAN STATUS - Civilian population 18 years and over - Civilian veterans
EST_VC55,Estimate; DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION - Population 5 years and over
MOE_VC55,Margin of Error; DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION - Population 5 years and over
EST_VC56,Estimate; DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION - Population 5 years and over - With a disability
MOE_VC56,Margin of Error; DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION - Population 5 years and over - With a disability
EST_VC57,Estimate; DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION - Population 5 to 15 years
MOE_VC57,Margin of Error; DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION - Population 5 to 15 years
EST_VC58,Estimate; DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION - Population 5 to 15 years - With a disability
MOE_VC58,Margin of Error; DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION - Population 5 to 15 years - With a disability
EST_VC59,Estimate; DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION - Population 16 to 64 years
MOE_VC59,Margin of Error; DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION - Population 16 to 64 years
EST_VC60,Estimate; DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION - Population 16 to 64 years - With a disability
MOE_VC60,Margin of Error; DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION - Population 16 to 64 years - With a disability
EST_VC61,Estimate; DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION - Population 65 years and over
MOE_VC61,Margin of Error; DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION - Population 65 years and over
EST_VC62,Estimate; DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION - Population 65 years and over - With a disability
MOE_VC62,Margin of Error; DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION - Population 65 years and over - With a disability
EST_VC64,Estimate; RESIDENCE 1 YEAR AGO - Population 1 year and over
MOE_VC64,Margin of Error; RESIDENCE 1 YEAR AGO - Population 1 year and over
EST_VC65,Estimate; RESIDENCE 1 YEAR AGO - Population 1 year and over - Same house
MOE_VC65,Margin of Error; RESIDENCE 1 YEAR AGO - Population 1 year and over - Same house
EST_VC66,Estimate; RESIDENCE 1 YEAR AGO - Population 1 year and over - Different house in the U.S.
MOE_VC66,Margin of Error; RESIDENCE 1 YEAR AGO - Population 1 year and over - Different house in the U.S.
EST_VC67,Estimate; RESIDENCE 1 YEAR AGO - Population 1 year and over - Different house in the U.S. - Same county
MOE_VC67,Margin of Error; RESIDENCE 1 YEAR AGO - Population 1 year and over - Different house in the U.S. - Same county
EST_VC68,Estimate; RESIDENCE 1 YEAR AGO - Population 1 year and over - Different house in the U.S. - Different county
MOE_VC68,Margin of Error; RESIDENCE 1 YEAR AGO - Population 1 year and over - Different house in the U.S. - Different county
EST_VC69,Estimate; RESIDENCE 1 YEAR AGO - Population 1 year and over - Different house in the U.S. - Different county - Same state
MOE_VC69,Margin of Error; RESIDENCE 1 YEAR AGO - Population 1 year and over - Different house in the U.S. - Different county - Same state
EST_VC70,Estimate; RESIDENCE 1 YEAR AGO - Population 1 year and over - Different house in the U.S. - Different county - Different state
MOE_VC70,Margin of Error; RESIDENCE 1 YEAR AGO - Population 1 year and over - Different house in the U.S. - Different county - Different state
EST_VC71,Estimate; RESIDENCE 1 YEAR AGO - Population 1 year and over - Abroad
MOE_VC71,Margin of Error; RESIDENCE 1 YEAR AGO - Population 1 year and over - Abroad
EST_VC73,Estimate; PLACE OF BIRTH - Total population
MOE_VC73,Margin of Error; PLACE OF BIRTH - Total population
EST_VC74,Estimate; PLACE OF BIRTH - Total population - Native
MOE_VC74,Margin of Error; PLACE OF BIRTH - Total population - Native
EST_VC75,Estimate; PLACE OF BIRTH - Total population - Native - Born in United States
MOE_VC75,Margin of Error; PLACE OF BIRTH - Total population - Native - Born in United States
EST_VC76,Estimate; PLACE OF BIRTH - Total population - Native - Born in United States - State of residence
MOE_VC76,Margin of Error; PLACE OF BIRTH - Total population - Native - Born in United States - State of residence
EST_VC77,Estimate; PLACE OF BIRTH - Total population - Native - Born in United States - Different state
MOE_VC77,Margin of Error; PLACE OF BIRTH - Total population - Native - Born in United States - Different state
EST_VC78,"Estimate; PLACE OF BIRTH - Total population - Native - Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)"
MOE_VC78,"Margin of Error; PLACE OF BIRTH - Total population - Native - Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)"
EST_VC79,Estimate; PLACE OF BIRTH - Total population - Foreign born
MOE_VC79,Margin of Error; PLACE OF BIRTH - Total population - Foreign born
EST_VC81,Estimate; U.S. CITIZENSHIP STATUS - Foreign-born population
MOE_VC81,Margin of Error; U.S. CITIZENSHIP STATUS - Foreign-born population
EST_VC82,Estimate; U.S. CITIZENSHIP STATUS - Foreign-born population - Naturalized U.S. citizen
MOE_VC82,Margin of Error; U.S. CITIZENSHIP STATUS - Foreign-born population - Naturalized U.S. citizen
EST_VC83,Estimate; U.S. CITIZENSHIP STATUS - Foreign-born population - Not a U.S. citizen
MOE_VC83,Margin of Error; U.S. CITIZENSHIP STATUS - Foreign-born population - Not a U.S. citizen
EST_VC85,Estimate; YEAR OF ENTRY - Population born outside the United States
MOE_VC85,Margin of Error; YEAR OF ENTRY - Population born outside the United States
EST_VC86,Estimate; YEAR OF ENTRY - Population born outside the United States - Native
MOE_VC86,Margin of Error; YEAR OF ENTRY - Population born outside the United States - Native
EST_VC87,Estimate; YEAR OF ENTRY - Population born outside the United States - Native - Entered 2000 or later
MOE_VC87,Margin of Error; YEAR OF ENTRY - Population born outside the United States - Native - Entered 2000 or later
EST_VC88,Estimate; YEAR OF ENTRY - Population born outside the United States - Native - Entered before 2000
MOE_VC88,Margin of Error; YEAR OF ENTRY - Population born outside the United States - Native - Entered before 2000
EST_VC89,Estimate; YEAR OF ENTRY - Population born outside the United States - Foreign born
MOE_VC89,Margin of Error; YEAR OF ENTRY - Population born outside the United States - Foreign born
EST_VC90,Estimate; YEAR OF ENTRY - Population born outside the United States - Foreign born - Entered 2000 or later
MOE_VC90,Margin of Error; YEAR OF ENTRY - Population born outside the United States - Foreign born - Entered 2000 or later
EST_VC91,Estimate; YEAR OF ENTRY - Population born outside the United States - Foreign born - Entered before 2000
MOE_VC91,Margin of Error; YEAR OF ENTRY - Population born outside the United States - Foreign born - Entered before 2000
EST_VC93,"Estimate; WORLD REGION OF BIRTH OF FOREIGN BORN - Foreign-born population, excluding population born at sea"
MOE_VC93,"Margin of Error; WORLD REGION OF BIRTH OF FOREIGN BORN - Foreign-born population, excluding population born at sea"
EST_VC94,"Estimate; WORLD REGION OF BIRTH OF FOREIGN BORN - Foreign-born population, excluding population born at sea - Europe"
MOE_VC94,"Margin of Error; WORLD REGION OF BIRTH OF FOREIGN BORN - Foreign-born population, excluding population born at sea - Europe"
EST_VC95,"Estimate; WORLD REGION OF BIRTH OF FOREIGN BORN - Foreign-born population, excluding population born at sea - Asia"
MOE_VC95,"Margin of Error; WORLD REGION OF BIRTH OF FOREIGN BORN - Foreign-born population, excluding population born at sea - Asia"
EST_VC96,"Estimate; WORLD REGION OF BIRTH OF FOREIGN BORN - Foreign-born population, excluding population born at sea - Africa"
MOE_VC96,"Margin of Error; WORLD REGION OF BIRTH OF FOREIGN BORN - Foreign-born population, excluding population born at sea - Africa"
EST_VC97,"Estimate; WORLD REGION OF BIRTH OF FOREIGN BORN - Foreign-born population, excluding population born at sea - Oceania"
MOE_VC97,"Margin of Error; WORLD REGION OF BIRTH OF FOREIGN BORN - Foreign-born population, excluding population born at sea - Oceania"
EST_VC98,"Estimate; WORLD REGION OF BIRTH OF FOREIGN BORN - Foreign-born population, excluding population born at sea - Latin America"
MOE_VC98,"Margin of Error; WORLD REGION OF BIRTH OF FOREIGN BORN - Foreign-born population, excluding population born at sea - Latin America"
EST_VC99,"Estimate; WORLD REGION OF BIRTH OF FOREIGN BORN - Foreign-born population, excluding population born at sea - Northern America"
MOE_VC99,"Margin of Error; WORLD REGION OF BIRTH OF FOREIGN BORN - Foreign-born population, excluding population born at sea - Northern America"
EST_VC101,Estimate; LANGUAGE SPOKEN AT HOME - Population 5 years and over
MOE_VC101,Margin of Error; LANGUAGE SPOKEN AT HOME - Population 5 years and over
EST_VC102,Estimate; LANGUAGE SPOKEN AT HOME - Population 5 years and over - English only
MOE_VC102,Margin of Error; LANGUAGE SPOKEN AT HOME - Population 5 years and over - English only
EST_VC103,Estimate; LANGUAGE SPOKEN AT HOME - Population 5 years and over - Language other than English
MOE_VC103,Margin of Error; LANGUAGE SPOKEN AT HOME - Population 5 years and over - Language other than English
EST_VC104,"Estimate; LANGUAGE SPOKEN AT HOME - Population 5 years and over - Language other than English - Speak English less than ""very well"""
MOE_VC104,"Margin of Error; LANGUAGE SPOKEN AT HOME - Population 5 years and over - Language other than English - Speak English less than ""very well"""
EST_VC105,Estimate; LANGUAGE SPOKEN AT HOME - Population 5 years and over - Spanish
MOE_VC105,Margin of Error; LANGUAGE SPOKEN AT HOME - Population 5 years and over - Spanish
EST_VC106,"Estimate; LANGUAGE SPOKEN AT HOME - Population 5 years and over - Spanish - Speak English less than ""very well"""
MOE_VC106,"Margin of Error; LANGUAGE SPOKEN AT HOME - Population 5 years and over - Spanish - Speak English less than ""very well"""
EST_VC107,Estimate; LANGUAGE SPOKEN AT HOME - Population 5 years and over - Other Indo-European languages
MOE_VC107,Margin of Error; LANGUAGE SPOKEN AT HOME - Population 5 years and over - Other Indo-European languages
EST_VC108,"Estimate; LANGUAGE SPOKEN AT HOME - Population 5 years and over - Other Indo-European languages - Speak English less than ""very well"""
MOE_VC108,"Margin of Error; LANGUAGE SPOKEN AT HOME - Population 5 years and over - Other Indo-European languages - Speak English less than ""very well"""
EST_VC109,Estimate; LANGUAGE SPOKEN AT HOME - Population 5 years and over - Asian and Pacific Islander languages
MOE_VC109,Margin of Error; LANGUAGE SPOKEN AT HOME - Population 5 years and over - Asian and Pacific Islander languages
EST_VC110,"Estimate; LANGUAGE SPOKEN AT HOME - Population 5 years and over - Asian and Pacific Islander languages - Speak English less than ""very well"""
MOE_VC110,"Margin of Error; LANGUAGE SPOKEN AT HOME - Population 5 years and over - Asian and Pacific Islander languages - Speak English less than ""very well"""
EST_VC111,Estimate; LANGUAGE SPOKEN AT HOME - Population 5 years and over - Other languages
MOE_VC111,Margin of Error; LANGUAGE SPOKEN AT HOME - Population 5 years and over - Other languages
EST_VC112,"Estimate; LANGUAGE SPOKEN AT HOME - Population 5 years and over - Other languages - Speak English less than ""very well"""
MOE_VC112,"Margin of Error; LANGUAGE SPOKEN AT HOME - Population 5 years and over - Other languages - Speak English less than ""very well"""
EST_VC114,Estimate; ANCESTRY - Total population
MOE_VC114,Margin of Error; ANCESTRY - Total population
EST_VC115,Estimate; ANCESTRY - Total population - American
MOE_VC115,Margin of Error; ANCESTRY - Total population - American
EST_VC116,Estimate; ANCESTRY - Total population - Arab
MOE_VC116,Margin of Error; ANCESTRY - Total population - Arab
EST_VC117,Estimate; ANCESTRY - Total population - Czech
MOE_VC117,Margin of Error; ANCESTRY - Total population - Czech
EST_VC118,Estimate; ANCESTRY - Total population - Danish
MOE_VC118,Margin of Error; ANCESTRY - Total population - Danish
EST_VC119,Estimate; ANCESTRY - Total population - Dutch
MOE_VC119,Margin of Error; ANCESTRY - Total population - Dutch
EST_VC120,Estimate; ANCESTRY - Total population - English
MOE_VC120,Margin of Error; ANCESTRY - Total population - English
EST_VC121,Estimate; ANCESTRY - Total population - French (except Basque)
MOE_VC121,Margin of Error; ANCESTRY - Total population - French (except Basque)
EST_VC122,Estimate; ANCESTRY - Total population - French Canadian
MOE_VC122,Margin of Error; ANCESTRY - Total population - French Canadian
EST_VC123,Estimate; ANCESTRY - Total population - German
MOE_VC123,Margin of Error; ANCESTRY - Total population - German
EST_VC124,Estimate; ANCESTRY - Total population - Greek
MOE_VC124,Margin of Error; ANCESTRY - Total population - Greek
EST_VC125,Estimate; ANCESTRY - Total population - Hungarian
MOE_VC125,Margin of Error; ANCESTRY - Total population - Hungarian
EST_VC126,Estimate; ANCESTRY - Total population - Irish
MOE_VC126,Margin of Error; ANCESTRY - Total population - Irish
EST_VC127,Estimate; ANCESTRY - Total population - Italian
MOE_VC127,Margin of Error; ANCESTRY - Total population - Italian
EST_VC128,Estimate; ANCESTRY - Total population - Lithuanian
MOE_VC128,Margin of Error; ANCESTRY - Total population - Lithuanian
EST_VC129,Estimate; ANCESTRY - Total population - Norwegian
MOE_VC129,Margin of Error; ANCESTRY - Total population - Norwegian
EST_VC130,Estimate; ANCESTRY - Total population - Polish
MOE_VC130,Margin of Error; ANCESTRY - Total population - Polish
EST_VC131,Estimate; ANCESTRY - Total population - Portuguese
MOE_VC131,Margin of Error; ANCESTRY - Total population - Portuguese
EST_VC132,Estimate; ANCESTRY - Total population - Russian
MOE_VC132,Margin of Error; ANCESTRY - Total population - Russian
EST_VC133,Estimate; ANCESTRY - Total population - Scotch-Irish
MOE_VC133,Margin of Error; ANCESTRY - Total population - Scotch-Irish
EST_VC134,Estimate; ANCESTRY - Total population - Scottish
MOE_VC134,Margin of Error; ANCESTRY - Total population - Scottish
EST_VC135,Estimate; ANCESTRY - Total population - Slovak
MOE_VC135,Margin of Error; ANCESTRY - Total population - Slovak
EST_VC136,Estimate; ANCESTRY - Total population - Subsaharan African
MOE_VC136,Margin of Error; ANCESTRY - Total population - Subsaharan African
EST_VC137,Estimate; ANCESTRY - Total population - Swedish
MOE_VC137,Margin of Error; ANCESTRY - Total population - Swedish
EST_VC138,Estimate; ANCESTRY - Total population - Swiss
MOE_VC138,Margin of Error; ANCESTRY - Total population - Swiss
EST_VC139,Estimate; ANCESTRY - Total population - Ukrainian
MOE_VC139,Margin of Error; ANCESTRY - Total population - Ukrainian
EST_VC140,Estimate; ANCESTRY - Total population - Welsh
MOE_VC140,Margin of Error; ANCESTRY - Total population - Welsh
EST_VC141,Estimate; ANCESTRY - Total population - West Indian (excluding Hispanic origin groups)
MOE_VC141,Margin of Error; ANCESTRY - Total population - West Indian (excluding Hispanic origin groups)
